,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,g,2023120600244,2023-12-07 06:28:24.706501120,13.619099742551178,13.783621802601829,0.0022142021867777,0.0023171409756142,-14.47827701578695,-14.281500378452867,0.0016521155599941465,0.0019803916039683156,r,2023120600245,2023-12-07 06:29:11.490004992,13.48546025285808,13.402602882683134,0.0022333667097962,0.0021759782652775,-14.41471561208594,-14.457479122048728,0.0017266262984363115,0.0016599421291787087,46.783503,1.0524196624369138,1.0515015607027978,-0.1645220600506505,0.0032049701441357417,-0.19677663733408401,0.0025790379463363797,0.08285737017494554,0.00311814179783184,0.04276350996278744,0.002395129693080152,0.13363948969309902,0.0031449353227621475,-0.06356140370101038,0.002389712157986114,0.3810189199186951,0.0031786827007158807,0.17597874359586108,0.00258405858627287,0.24737943022559605,0.004471536860654003,0.23954014729687145,0.003519670861787675,13.783621802601829,13.48546025285808,-14.281500378452867,-14.41471561208594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,g,2024013000151,2024-01-31 04:00:34.647505920,13.620323821123035,13.783084362661045,0.0023949338278397,0.0025040248381182,-14.464871306928142,-14.266032141500835,0.0016829431125640344,0.0020211805122465985,r,2024013000152,2024-01-31 04:01:21.424993024,13.445671479417989,13.416741509715957,0.0023976025240337,0.0023723532179909,-14.402935194130634,-14.433848529972177,0.001732201647623029,0.001683577499948139,46.777487,1.0068139904212356,1.0066751770960218,-0.16276054153800956,0.0034649456604171724,-0.19883916542730695,0.002630108017403875,0.02892996970203221,0.003372915304920144,0.030913335841542988,0.0024155653057534093,0.1746523417050465,0.0033888354788900107,-0.06193611279750755,0.0024151231993740315,0.3663428529450883,0.003449376781510633,0.1678163884713424,0.0026305139918687084,0.19169051124004177,0.00483553575974869,0.22975250126884994,0.003571053616171522,13.783084362661045,13.445671479417989,-14.266032141500835,-14.402935194130634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,g,2024020600124,2024-02-07 03:22:46.041501952,13.623653827344718,13.781784324610808,0.0025436325629956,0.0026487634904581,-14.409595539742249,-14.21549210342006,0.001718311852569609,0.0020546760577337246,r,2024020600125,2024-02-07 03:23:32.853505024,13.5144973413703,13.41553773165613,0.0024932532833791,0.0024316014870701,-14.361168591412781,-14.395842209390894,0.0017784271218051963,0.0017225293309331075,46.812003,1.009418305289152,1.0091702150232664,-0.15813049726608952,0.003672330955117654,-0.19410343632218918,0.002678486386918067,0.09895960971416962,0.0034826710621306436,0.03467361797811286,0.0024758655705625805,0.10915648597441852,0.003561794288081813,-0.04842694832946748,0.002472933207802733,0.36624659295467765,0.0035956409470781843,0.18035010597083456,0.0026811939501179428,0.25709010698025914,0.005061127579000309,0.22877705430030204,0.00364749224103391,13.781784324610808,13.5144973413703,-14.21549210342006,-14.361168591412781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,g,2024030500537,2024-03-06 05:28:58.646004992,13.620815688027108,13.831013785362876,0.0027200697674728,0.0028275343057499,-14.338007395268582,-14.150537198322796,0.0017892151829334009,0.002126427859827034,r,2024030500538,2024-03-06 05:29:45.555491072,13.45429543316038,13.397161635235184,0.002485147395868,0.0024369769599683,-14.314378327102942,-14.355007750886275,0.0018150252198543657,0.0017483601310488335,46.909486,1.399166966817317,1.4029152668262264,-0.210198097335768,0.003923484394019186,-0.18747019694578526,0.002779026162864967,0.05713379792519646,0.0034806341782218134,0.040629423783332896,0.0025201348568178812,0.16652025486672706,0.0036843910106161416,-0.02362906816563992,0.0025486481749246582,0.4338521501276915,0.0037328014886421302,0.20447055256347824,0.002752900032854385,0.26733189526096446,0.005244858822953954,0.22809962072911816,0.0037515418310924463,13.831013785362876,13.45429543316038,-14.150537198322796,-14.314378327102942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,g,2024030800475,2024-03-09 04:19:26.730508032,13.631240594814775,13.7898826395372,0.0027120278004081,0.0027983806845949,-14.419115410605965,-14.224455839760882,0.001699761935932978,0.002033536293457023,r,2024030800476,2024-03-09 04:20:13.469007872,13.49678641681056,13.409131181489244,0.0024930331366155,0.0024154657490037,-14.37041761998895,-14.397495529131492,0.00175161984705921,0.0017084752579356384,46.738499,1.189088802349842,1.191196907270666,-0.15864204472242527,0.0038969256146480676,-0.1946595708450829,0.002650369879026992,0.08765523532131603,0.003471266196198863,0.027077909142541046,0.002446846908899283,0.13445417800421566,0.003683790033436938,-0.04869779061701429,0.0024407709289194584,0.38075145804795696,0.003696675430778827,0.17303968937060965,0.0026559664086326794,0.2462972800437413,0.005218785131711512,0.22173747998762394,0.0036071484986403774,13.7898826395372,13.49678641681056,-14.224455839760882,-14.37041761998895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,g,2024041700405,2024-04-18 02:32:12.082504960,13.66199351232748,13.77563314934671,0.002519723283955,0.0025950600131148,-14.41215402504457,-14.215085243585113,0.0017669547949992746,0.00211861943255351,r,2024041700406,2024-04-18 02:32:58.908005120,13.465482035397937,13.328592577951913,0.0023094952538737,0.0022477591873005,-14.376582461941199,-14.407433370608098,0.0017890027603840758,0.0017388841432776413,46.8255,1.3636810464452105,1.3671426909399378,-0.11363963701922941,0.0036170902531416542,-0.19706878145945694,0.0027587456474934915,0.1368894574460242,0.0032227611906188378,0.0308509086668991,0.0024948444721874467,0.19651147692954396,0.0034180072784255615,-0.03557156310337106,0.002514490032637388,0.4470405713947976,0.003433184794875043,0.19234812702298498,0.0027408513939533048,0.2505290944652536,0.004844536261721167,0.22791969012635604,0.0037195331008029148,13.77563314934671,13.465482035397937,-14.215085243585113,-14.376582461941199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
