,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,g,2023112000322,2023-11-21 07:32:04.683002880,16.475870506945093,16.50459345583532,0.0103892214078622,0.0103661267446619,16.506836896008096,16.529885798733147,0.0175198575413448,0.0166670373553353,r,2023112000323,2023-11-21 07:32:51.178496000,15.182797596110332,14.731935451303452,0.0049444142870237,0.0039319831911318,15.18458959139277,14.737599203657584,0.0067650454584075,0.0044160559939601,46.495493,1.0511569014266349,1.050256816927461,2090.7390385607528,1248.37174206361,170.72554615112088,1450.2138747024717,2091.901534547833,1251.24031763764,171.88391667293303,1452.9805227144648,-0.028722948890226974,0.01467625651002247,-0.023048902725051335,0.024181305640373484,0.45086214480688014,0.0063172560860762245,0.44699038773518573,0.008078823589862009,1.293072910834761,0.011505787852350933,1.3222473046153258,0.018780608305465938,1.772658004531868,0.011086797350981831,1.7922865950755629,0.01724214849564674,0.4795850936971071,0.01597811721089328,0.47003929046023707,0.025495155090119955,16.50459345583532,15.182797596110332,16.529885798733147,15.18458959139277,2451.0,2023-11-21 08:29:09.247002842+00:00,2023112000378.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.11848847998890417,186.98452373688565,0.0,169.68869994743966,94.65875243016237,879.5771896333113,619.6434547793207,1.2722208242061837,54.55634549562805,9.406306979237842,1.080472201387453,3.1702914668761117,0.0,2.13996025510354,3.1.0,2.0,,60.0,2.13996025510354,-87.4694308381905,-190.56548635119253,10.0,743.0,,empty,11.057624622291996,-416.658049245256,19.57718963331132,508.0,1645.0,860.0,905.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7071955590143418,0.0002807839613324646,1.0,0.0,0.0,0.0,0.0,0.0002321816133647342,1.4753575334869384,0.0,293.18448738588813,1.049539229209394,2.7638051606901315,0.010212243101041294,1.0,0.0,1.0,0.0,186.95941308759123,0.004310998995769318,1.1028059215302268,0.020067927124013143,-0.15213503619760396,0.0,0.12578582702584995,0.0,985.7428244095713,0.0,568.0198442393203,0.0,-0.01957516246143439,0.0,-0.1619333394481839,0.0005089281456941024,-0.10795838079479084,0.0014072305857627163,1.0226067204863916,0.0031172243688847895,8.935723532958944,0.005175557893862119,-3.0137314779829003,0.012454916338920874,1.6037924128355525,0.0321036403546982,3.020614300588846,0.0019292230529981825,-0.4847239841351093,0.004811560502940612,0.26896903431573854,0.012358000593200547,11333.33333333339,0.0,985.7428244095713,0.0,568.0198442393203,0.0,-0.01957516246143439,0.0,0.07215504089163757,0.11759717517994486,-5.572991074977654,0.39869078433577665,-6.408582330619191,0.3322049802614576,8.323653430103063,0.03780548541364038,0.0,0.0,0.0,0.0,2.4260197247234756,0.011186701846554743,0.0,0.0,0.0,0.0,11333.33333333339,0.0,985.7428244095713,0.0,568.0198442393203,0.0,-0.01957516246143439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.039056535227186,0.0,0.0,0.0,0.0,0.0,3.062464604421675,0.0,0.0,0.0,0.0,0.0,11333.33333333339,0.0,0.7124611899484441,0.0006518703739800687,0.0,0.0,0.0013237165672366582,0.00048517754141440674,3.0,0.0,294.2316062579592,5.251703521851331,2.783418007954304,0.027693105390622627,2.1421128934845703,0.034720407734178886,186.90299886678798,0.005640897398592437,1.080472201387453,0.0,0.0,0.0,2023-11-21 08:29:09.247002842+00:00,3424.563999,3424.563999
1,g,2023112700313,2023-11-28 06:58:28.316004096,16.476681249355384,16.526819077637263,0.0096009457560283,0.0100599864585678,16.45373673746453,16.52582904290011,0.019236283419197,0.0199734484166605,r,2023112700314,2023-11-28 06:59:15.041997056,15.181560991112692,14.753306306370998,0.0049927196163834,0.004010775459679,15.17807050134893,14.742200696221932,0.0072829361547756,0.0049389940890246,46.725992,1.0584606101460203,1.057478299975849,2633.1952026618083,646.1626897417574,713.0525017637832,848.0104720666371,2632.070461506199,646.8753459476646,711.8932706685049,848.4191018227748,-0.05013782828187985,0.01390616722741264,-0.07209230543557865,0.02773036677429044,0.4282546847416935,0.006404183707216939,0.43586980512699824,0.008799705770419686,1.295120258242692,0.010821525242682633,1.275666236115601,0.020568805478641948,1.7735127712662653,0.0108300345029243,1.783628346678178,0.020575040808329344,0.47839251302357333,0.015309965901743485,0.5079621105625769,0.029093093047708574,16.526819077637263,15.181560991112692,16.52582904290011,15.17807050134893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,g,2023112700397,2023-11-28 08:14:21.002502912,16.427253641462617,16.526518176546052,0.0087047825312721,0.009234030036096,16.41482946771166,16.503683600963303,0.0156506680701235,0.0168280825195416,r,2023112700398,2023-11-28 08:15:07.686507008,15.193172348310416,14.77199845089946,0.0047293078272577,0.0039905078718223,15.187724212156004,14.74789382866269,0.0062121367676658,0.0043154361983213,46.684004,1.0063845867740682,1.006271975055913,2225.653453615847,2542.8114525017804,305.54637355791635,2744.901773897761,2226.0672449269405,2541.4101793180907,306.0762260795692,2743.550321441116,-0.09926453508343513,0.012690175318893866,-0.08885413325164393,0.022981030706338754,0.4211738974109558,0.006187932255611457,0.43983038349331416,0.007563969381347804,1.234081293152201,0.009906542860236404,1.2271052555556548,0.01683846947502559,1.7545197256465919,0.010059396790195664,1.7557897723006128,0.01737260345677306,0.5204384324943909,0.014118465044908378,0.5286845167449581,0.02419382989788206,16.526518176546052,15.193172348310416,16.503683600963303,15.187724212156004,2480.0,2023-11-28 08:20:11.280997722+00:00,2023112700403.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.11855094845726395,186.97134699271402,0.0,174.01415461812365,106.67346446036699,871.51612378228,619.6434547793207,7.993739658934857,57.82771397513427,7.1929882915945,0.9557731911820952,8.266059085778078,0.0,2.14256249399399,3.1.0,2.0,,60.0,2.14256249399399,-87.4705010256381,-186.13380782091352,10.0,743.0,,empty,6.500497873956988,-416.41542535074683,19.516123782280005,520.0,1657.0,852.0,897.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7122851671451486,0.00023564050997184163,1.0,0.0,0.0,0.0,0.0,0.00019661398031804166,1.7382674670446336,0.0,304.16623343381355,1.0378703644584957,2.9218094815230256,0.009240907451960061,1.0,0.0,1.0,0.0,186.91009772652677,0.003240188293948713,1.0793349800975127,0.014298297696479787,0.03038974019001368,0.0,0.1212381401560068,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,-0.15226757070739422,0.0003898743794546026,-0.05570602873175809,0.0009451846272283972,1.0707508861316966,0.002310364076619562,6.674170874927489,0.0033656097357103285,-2.707260382991236,0.007624377674828123,0.7494259917304923,0.0203007778331923,2.9023381915256072,0.0015249197357715969,-0.5891457334560862,0.003434856570745761,-0.07947239790083829,0.00913486714841751,11333.333333333392,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,0.1559401777005873,0.07967548384781019,-5.243971763993837,0.26827887384294336,-5.574889929295634,0.2225855780521035,6.493064742416404,0.021359470918356424,0.0,0.0,0.0,0.0,2.541475514629294,0.008337830552033524,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77740876922266,0.0,0.0,0.0,0.0,0.0,2.9484029210663047,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7191383563696375,0.0006620578308848829,0.0,0.0,0.001973449470214679,0.0005035441390393749,3.0,0.0,312.3525893118511,5.276552213207343,2.9828201619064973,0.02889327417624834,2.3873888242512336,0.03117817576424022,186.84677406690227,0.006346091540750601,0.9557731911820952,0.0,0.0,0.0,2023-11-28 08:20:11.280997722+00:00,350.278494,350.278494
3,g,2023120500461,2023-12-06 06:00:21.462994944,16.43617011399582,16.5643522077318,0.0082502730076626,0.0088655903433797,16.428862265468574,16.52893977184572,0.0139535455966967,0.0152435990969353,r,2023120500462,2023-12-06 06:01:08.092001024,15.206864543108814,14.789988170890142,0.0044911782112404,0.0036911230075173,15.192283186615336,14.749067750011111,0.0059249142675606,0.0041877765525706,46.629006,1.0986909417014343,1.0973332281971138,2426.8738645780045,2563.8579968266595,507.1762880585861,2765.541005679664,2428.6522741084614,2564.924909195836,508.8315432255818,2766.4091395662563,-0.12818209373597966,0.012110561375823727,-0.10007750637714707,0.020665641730833826,0.41687637221867213,0.005813352800384997,0.44321543660422513,0.007255486305700209,1.229305570887007,0.009393491705754927,1.2365790788532376,0.015159354992777135,1.7743640368416589,0.009603284916800653,1.7798720218346098,0.015808377079331918,0.5450584659546518,0.013433568685175862,0.5432929429813722,0.021902301926495848,16.5643522077318,15.206864543108814,16.52893977184572,15.192283186615336,2608.0,2023-12-06 05:37:02.519498432+00:00,2023120500442.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.1229793292713526,186.90039482427105,0.0,141.7976514112199,102.64706035115111,874.496260726393,619.6434547793207,3.412420167622515,57.69562327593978,6.417841971835235,0.9471660625350057,7.822358175201507,0.0,2.10003292480613,3.1.0,2.0,,60.0,2.10003292480613,-87.4739009596576,-219.0862385619985,7.875,741.05,40.5374984741211,empty,39.10205315508199,-416.32684591598365,19.496260726393018,516.0,1653.0,855.0,900.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7158511868644748,0.00022060228124090914,1.0,0.0,0.0,0.0,0.0,0.00018513852812844715,1.8551793153458553,0.0,311.0086531843734,1.0528425228836582,2.4407841226807236,0.008357646143193294,1.0,0.0,1.0,0.0,186.98182895481472,0.0031482062674944434,0.6536743941461985,0.014718160202632252,-0.3290529813704921,0.0,0.12821355699586373,0.0,985.278895776158,0.0,568.020202222258,0.0,-0.019953345773348202,0.0,-0.14870934578439657,0.0003613014389353448,-0.057373220717961936,0.0008570778813588448,1.0368141451583226,0.0020976256620853346,5.5318906498067495,0.0024146927360443847,-1.8840125599569923,0.005418988685478355,0.366355938805089,0.014135054069590175,2.5663397458094948,0.0010314607872900215,-0.34865816870016175,0.002307869423345577,-0.22100661709150332,0.005956287561563364,11333.33333333339,0.0,985.278895776158,0.0,568.020202222258,0.0,-0.019953345773348202,0.0,-0.22872324227881916,0.07719244704094752,-6.1276107029100615,0.25787063209241884,-5.706422112838249,0.21246011587300523,6.135715391133871,0.018832801577350965,0.0,0.0,0.0,0.0,2.50725935644667,0.007517667747954924,0.0,0.0,0.0,0.0,11333.33333333339,0.0,985.278895776158,0.0,568.020202222258,0.0,-0.019953345773348202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.620947694950983,0.0,0.0,0.0,0.0,0.0,2.6026442725291306,0.0,0.0,0.0,0.0,0.0,11333.33333333339,0.0,0.7216605693010824,0.0006609747746167899,0.0,0.0,0.002693647975347131,0.0004989169459370527,3.0,0.0,333.75379549611876,5.385252039946676,2.5239411328196875,0.029335534067908342,1.8652101698418149,0.03344635887128149,186.84845259577503,0.006500296897448406,0.9471660625350057,0.0,0.0,0.0,2023-12-06 05:37:02.519498432+00:00,1398.943497,-1398.943497
4,g,2023120600228,2023-12-07 06:12:52.617496064,16.444005975866585,16.574922374584197,0.0086002765907066,0.0091612093692678,16.43384607315912,16.54058315402268,0.0138425848834465,0.0151469795913753,r,2023120600229,2023-12-07 06:13:39.380998912,15.22954836714349,14.804822430665933,0.0048611291380332,0.0039836318715629,15.230858989140742,14.779664269190931,0.0060076057892992,0.0041890699255963,46.763502,1.0724337030367035,1.0713126061421567,2393.466606292957,2938.127004499631,473.3780044146652,3139.9238173246968,2393.151668873545,2938.381629825984,473.4550513508049,3139.976008630108,-0.13091639871761274,0.012565528820714872,-0.10673708086356015,0.02051945776566626,0.4247259364775573,0.00628489454046503,0.451194719949811,0.007323908393826117,1.2144576087230945,0.009879035070961705,1.2029870840183783,0.015090012709571944,1.7700999439182645,0.009989848847489729,1.7609188848317494,0.015715575000077957,0.55564233519517,0.014049641060503403,0.5579318008133711,0.021787330748811753,16.574922374584197,15.22954836714349,16.54058315402268,15.230858989140742,2620.0,2023-12-07 05:26:49.049509593+00:00,2023120600190.0,-64.0,2.0,1137.0,3.0,True,HD2811,0.0,holo4_003,0.12261808248483082,187.02516366922308,0.0,106.22897626537365,101.7510876358807,872.1437271783155,558.3381627049305,22.885610382856854,59.70932384767222,5.3164986564592605,0.9699269476901042,11.07093743131939,0.0,2.10580792040668,3.1.0,2.0,,60.0,2.10580792040668,-43.6151159559177,78.55843032659084,11.0249996185303,741.5,26.1749992370605,empty,74.19525500246101,-416.3757755489081,18.143727178315515,515.0,1652.0,854.0,899.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7294715180962752,0.00015889923791342485,1.0,0.0,0.0,0.0,0.017051630122923964,9.76374389684217e-05,3.0,0.0,329.4567602072431,0.9510944021440512,1.6525440837759413,0.0071933928842753,1.0,0.0,1.0,0.0,187.0831751942332,0.00167383817537226,0.16019151462089995,0.007565472069780003,-1.5868350450691442,0.0,0.1388933614017552,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,-0.29506334012459245,0.00028156427383762206,-0.1863628283058297,0.0006952453352877384,1.111277550097304,0.0015172071766250252,4.205649645005209,0.001521669959934333,-1.087996762270923,0.0035072217306302334,0.7139966305083506,0.008226016057803813,2.3189076891308886,0.0006791399418124655,-0.31725534690218343,0.001551964593188734,-0.046973939591822285,0.0035772394679407247,11333.333333333392,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,2.1726485448975317,0.03505845580433725,3.323661127174983,0.11390599142880627,2.786252202083166,0.09136746653442082,4.800274276542537,0.00606958416299853,0.0,0.0,0.0,0.0,2.3716374710887402,0.0027396120683782334,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282735664219267,0.0,0.0,0.0,0.0,0.0,2.3565513767325528,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7235398614395746,0.0007195789089386286,0.0,0.0,0.0116848416832674,0.0006622996828347814,3.0,0.0,355.20854448943265,5.701770946069051,1.6577864597553604,0.023370971708147836,1.8865294605644698,0.04070862576732343,186.9450494808111,0.005634665229996971,0.9699269476901042,0.0,0.0,0.0,2023-12-07 05:26:49.049509593+00:00,2763.567987,-2763.567987
5,g,2023120600260,2023-12-07 06:43:50.111000064,16.426789155889153,16.54340741432357,0.0081548314180695,0.0084012825088048,16.450461552913,16.54697490129664,0.0162678197987651,0.0166964647345476,r,2023120600261,2023-12-07 06:44:36.931000064,15.198345222284868,14.765098678326892,0.0045126208044163,0.0036177102284682,15.185662161259676,14.742992081154416,0.0066946428677068,0.0044252882540821,46.82,1.035737168700299,1.0350124980564213,2396.623147784556,1451.468953690633,476.925167476632,1653.3119942102835,2398.9861414725847,1449.038993733173,478.9438414222623,1650.8928057418948,-0.11661825843441775,0.01170823741004097,-0.09651334838363823,0.023311239684690416,0.433246543957976,0.005783733553822674,0.44267008010526077,0.008025049486318108,1.2284439336042858,0.009320140663186594,1.264799391653325,0.017591481010171692,1.7783087359966796,0.0091470965387883,1.8039828201422239,0.017272958946390995,0.5498648023923938,0.013058881922718237,0.539183428488899,0.024653910742414478,16.54340741432357,15.198345222284868,16.54697490129664,15.185662161259676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,g,2023121100547,2023-12-12 06:49:42.812996096,16.432519743789353,16.52754508414166,0.008245152005674,0.0087209553840058,16.446902264968124,16.527280237283865,0.0162945223852876,0.0175359451477734,r,2023121100548,2023-12-12 06:50:29.659500032,15.180131927382243,14.81864080188936,0.0046421271767795,0.0038652991685534,15.192739675604464,14.74829650385667,0.0066490287738777,0.0046451131332425,46.846503,1.0167457014752566,1.0163143227747131,2481.413761020253,1428.4678401838562,561.5110525418656,1630.6353643217626,2483.6639511723924,1427.1063408927844,563.4784064678744,1629.2238189494892,-0.09502534035230781,0.012001566331378988,-0.08037797231574118,0.0239378535376578,0.36149112549288276,0.006040685589220351,0.44444317174779435,0.008110897586363394,1.2523878164071096,0.009462128530202113,1.2541625893636592,0.017598893243624503,1.7089042822523002,0.00953916141347023,1.7789837334271947,0.018140740013746392,0.45651646584519057,0.01343605138403036,0.5248211440635355,0.025274641276323423,16.52754508414166,15.180131927382243,16.527280237283865,15.192739675604464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,g,2023121400290,2023-12-15 06:23:08.648504064,16.43775807304129,16.515713486567098,0.0086330752409139,0.0088743273434987,16.421920238410635,16.51577928682348,0.0161180321669373,0.0163667850069981,r,2023121400291,2023-12-15 06:23:55.368504064,15.194983087693906,14.734605587749789,0.0046415382399602,0.003675575242931,15.173368159677567,14.743205781433936,0.0066907856516362,0.0044109810825938,46.72,1.0265752362311618,1.0259783981403734,2242.162868328128,1319.523374983983,322.2443745839515,1521.4208837189738,2243.55845370718,1320.694165266351,323.7359416331608,1522.7034764700477,-0.0779554135258067,0.012380778405045836,-0.09385904841284542,0.022970907957669484,0.4603774999441175,0.00592061910609525,0.43016237824363124,0.008013948262070402,1.2427749853473848,0.0098017276716043,1.2485520787330682,0.01745157796792503,1.781107898817309,0.009605391151120081,1.7725735053895448,0.01695076415906664,0.5383329134699242,0.01372360756194629,0.5240214266564767,0.024328706894261035,16.515713486567098,15.194983087693906,16.51577928682348,15.173368159677567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,g,2023122000213,2023-12-21 05:31:41.276505088,16.430828969039396,16.571490762672372,0.0081853860254066,0.0084582048361404,16.413982701303322,16.531637910609007,0.0158756113924712,0.0164427297847338,r,2023122000214,2023-12-21 05:32:28.094999040,15.195335021748033,14.76398613317491,0.0045086562000104,0.00357268353167,15.178941207698546,14.751424446066776,0.0066787133125251,0.0043959330575176,46.818493,1.0540405117763167,1.0531032784268952,2211.036137275365,1001.0082663382476,290.7630542342436,1202.6988300522885,2208.890878681864,1001.7664508630512,288.6992930917052,1203.3117236614582,-0.14066179363297593,0.01177037694532467,-0.11765520930568485,0.02285603639869637,0.4313488885731225,0.005752568847685201,0.4275167616317699,0.00799558871860453,1.2354939472913635,0.009344973253830846,1.2350414936047756,0.01722324733015413,1.807504629497462,0.009181791582669194,1.7802134645422303,0.017020211227242392,0.5720106822060984,0.01310090919678435,0.5451719709374547,0.024214207375332555,16.571490762672372,15.195335021748033,16.531637910609007,15.178941207698546,2757.0,2023-12-21 04:40:41.695490283+00:00,2023122000166.0,-64.0,2.0,1137.0,3.0,True,HD2811,0.0,holo4_003,0.13808237906425663,187.1791032490364,0.0,107.52895304449909,100.88262206188934,869.7619232482169,558.3381627049305,27.83315896387767,51.997675913347365,6.434273247106611,1.0988906277772363,9.586262599154937,0.0,2.21743497268315,3.1.0,2.0,,60.0,2.21743497268315,-43.6106722214796,80.79193596466224,13.5500001907349,741.8,23.3500003814697,empty,72.987571115697,-416.73636389165716,16.76192324821693,514.0,1651.0,853.0,898.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.6827681415431175,0.00019972449132751402,1.0,0.0,0.0,0.0,0.012843976351814553,0.00013650453496274372,2.2534021791702856,0.0,315.9894232948054,0.8980029328326132,4.630582442999869,0.014069952364418738,1.0,0.0,1.0,0.0,187.06074632393697,0.0027253668637013673,0.9734284838522733,0.012422358190801222,-2.0043881344060743,0.0,0.13848961031838564,0.0,985.8517182338184,0.0,568.0219968502281,0.0,-0.022360082509865407,0.0,-0.2738119965101368,0.0003764932866778819,-0.03431484121272721,0.0011692577485536532,1.3701067145606163,0.002268041253529626,6.037263701057413,0.0023797155885983065,-2.578070640401585,0.0046143153513053215,-0.5328497907217141,0.010884913890160414,2.4545060029556045,0.0008625451533340946,-0.7016555567729509,0.0015610514479308414,-0.5406122826546212,0.003719936478246756,11333.333333333392,0.0,985.8517182338184,0.0,568.0219968502281,0.0,-0.022360082509865407,0.0,0.9755855423379248,0.046513913087008266,-1.1895449936289855,0.15330989051480076,-0.6009711643842601,0.12468320791850292,10.592778491771874,0.033820564302717744,0.0,0.0,0.0,0.0,4.274161740657934,0.018975275758731733,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.8517182338184,0.0,568.0219968502281,0.0,-0.022360082509865407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.607735963932521,0.0,0.0,0.0,0.0,0.0,2.6416447024282084,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.8836110925229779,0.7366144175526054,0.0,0.0,0.1,0.379668046918942,0.43263566605231457,1.78240962922104,378.23594963472976,113.86983036221932,4.909057367351314,0.11014371890697165,1.032512806995743,0.04757753108918937,187.17786367835677,0.00723667629738574,1.0988906277772363,0.0,0.0,0.0,2023-12-21 04:40:41.695490283+00:00,3059.581015,-3059.581015
9,g,2023122200469,2023-12-23 05:29:44.604004096,16.443283742487722,16.503215374743792,0.007688967306912,0.0081956762162965,16.43866120769008,16.5140453549518,0.0146987002710529,0.0156956015133554,r,2023122200470,2023-12-23 05:30:31.418001920,15.203469375366618,14.747219671542748,0.0043684463382366,0.0035856209394395,15.196688909716322,14.752115818236923,0.0059879202923878,0.0041720686427415,46.813997,1.0472634451738827,1.046401292701768,2085.4993226734277,2639.890370137269,165.3744757194854,2841.6091908780945,2087.6717337597297,2639.471756579488,167.6740625962167,2841.1155728770145,-0.059931632256070344,0.011237852414457563,-0.07538414726171894,0.02150357404070995,0.45624970382387,0.00565154854278009,0.4445730914793984,0.007298037146228875,1.2398143671211042,0.008843276635773323,1.24197229797376,0.01587157771257288,1.7559957032010445,0.008945713284233691,1.7619295367148773,0.01624063002551906,0.5161813360799403,0.012578923953205595,0.5199572387411173,0.02270825935011381,16.503215374743792,15.203469375366618,16.5140453549518,15.196688909716322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
