,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,z,2023120400525,2023-12-05 06:21:12.292994048,14.9829504989241,14.907161152803816,0.005208357560855,0.0050096337698832,-12.369705198708242,-12.43770095346909,0.007940179825661647,0.007458165843857204,y,2023120400526,2023-12-05 06:22:00.510001920,14.994311704909052,14.99347441569059,0.0106150149656053,0.010349020178719,-11.284801126533422,-11.21049516227323,0.020322553313796936,0.02176209276604301,48.217007,1.0720093437812748,1.070858981364036,1544.9641315132762,2298.500026139864,468.3854194327228,2881.665317531133,1538.391129173153,2299.28498882464,461.7753254715121,2882.5516210694136,0.07578934612028299,0.0072265772665951345,0.0679957547608474,0.010893607915577027,0.0008372892184613789,0.014825004599647095,-0.07430596426019243,0.0297757427237337,-0.011361205984952605,0.011823938903839952,-1.0849040721748207,0.02181863031576371,-0.08631326288677421,0.011497767138357222,-1.2272057911958605,0.023004628215042722,0.0749520569018216,0.016492549238053746,0.14230171902103983,0.031705922919358503,14.9829504989241,14.994311704909052,-12.369705198708242,-11.21049516227323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,z,2023120600242,2023-12-07 06:26:05.034508032,14.9512547019789,14.893402249268162,0.0051519377461668,0.0049893219218628,-12.376526819732632,-12.465316409834275,0.007752928828775644,0.007144140074908172,y,2023120600243,2023-12-07 06:26:53.440508928,15.018380039794614,14.904701529405637,0.0105913180979284,0.010111681615094,-11.239439632974626,-11.336743387343445,0.0206175331562294,0.018850166903705882,48.406,1.0551309684768817,1.0541526765560412,1206.405381046114,2395.800701136376,129.82500723392437,2978.7391770638765,1195.8070072275134,2395.0739109263345,119.04881148298183,2977.996893890529,0.05785245271073869,0.00717187533218188,0.08878959010164245,0.010542610816774439,0.11367851038897747,0.014643159636380928,0.09730375436881822,0.02793584553482832,-0.06712533781571395,0.01177788103148796,-1.1370871867580057,0.022027041990977346,-0.011299280137475165,0.011275612547662796,-1.12857302249083,0.02015855971312131,0.05582605767823878,0.016305150104089648,0.008514164267175772,0.02985897032015265,14.9512547019789,15.018380039794614,-12.376526819732632,-11.239439632974626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,z,2023122000223,2023-12-21 05:41:00.039495936,14.970315156261169,14.87726609246048,0.0053858500522295,0.0051850879520973,-12.36432400989398,-12.44771026921729,0.008430131422196481,0.007806922020204176,y,2023122000224,2023-12-21 05:41:48.676504064,14.992761572371176,14.932011307060964,0.0107924562461516,0.0105375227724489,-11.247939892687333,-11.248830741385426,0.021649585779763458,0.02163182953743004,48.637008,1.043655489471919,1.0428035667462503,1568.6058565382957,453.973254600544,491.7373461912968,1037.4584996956632,1559.1747850428817,453.7403525608255,482.4192054071653,1037.1350927448884,0.093049063800688,0.007476129871536816,0.08338625932330856,0.011489784472523986,0.06075026531021166,0.015083650022623034,0.000890848698093194,0.030604584845603883,-0.022446416110007306,0.01206169526269824,-1.116384117206648,0.023232986898606915,-0.05474521460048365,0.01174412718131338,-1.1988795278318634,0.02299747987423795,0.032298798490476344,0.01683475618656418,0.08249541062521537,0.03269030071438347,14.970315156261169,14.992761572371176,-12.36432400989398,-11.247939892687333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,z,2023122200471,2023-12-23 05:31:18.218992896,14.969254902843598,14.87688865196259,0.0050605357936402,0.0048572601404655,-12.351705185758124,-12.46750644961071,0.007909783318760083,0.007109582219435511,y,2023122200472,2023-12-23 05:32:06.262504960,14.97110780511336,14.928435146894138,0.010307957565592,0.009964157433128,-11.208514259764048,-11.299714863882684,0.020942939568181138,0.01925561517321221,48.043512,1.0455495445459306,1.0446865648928083,2556.9154002708733,2075.7833980580785,1480.414925373248,2659.420723536531,2547.9454750508667,2076.306366023881,1471.4941541884643,2660.063786587741,0.09236625088100858,0.007014413631292966,0.11580126385258538,0.0106353576096269,0.042672658219222726,0.014336611263691477,0.09120060411863662,0.028449700059145218,-0.0018529022697624242,0.011483162094682762,-1.1431909259940767,0.02238685752637521,-0.05154649493154828,0.01108500831863986,-1.1677915857280254,0.020526199722153974,0.04969359266178586,0.01596058962310208,0.02460065973394876,0.03037262360975713,14.969254902843598,14.97110780511336,-12.351705185758124,-11.208514259764048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
