,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,z,2023112700383,2023-11-28 08:00:45.768496896,14.838280385686936,14.150519140882194,0.0051486172303569,0.0038111668812543,-12.55078517915478,-13.20078800725704,0.007422955527884812,0.0040792068419562184,y,2023112700384,2023-11-28 08:01:33.778004992,14.8406569380077,14.090084515332732,0.0098026163969174,0.0065700685190598,-11.442297527681264,-12.162782662783334,0.018488183311023153,0.009521386275099115,48.009508,1.009660390712951,1.0093926426838302,1316.6078163710033,91.16517200766444,429.0088071846718,1750.8954193794536,1311.3601199456668,89.18015106410567,423.6966496921818,1748.969819087045,0.6877612448047419,0.006405720285923947,0.6500028281022612,0.00846995851397267,0.750572422674967,0.01180072406974481,0.72048513510207,0.02079590629767409,-0.002376552320763281,0.011072467999946616,-1.1084876514735154,0.019922680314429352,0.060434625549461884,0.007595445565726231,-1.0380053444737065,0.010358413250064327,0.06281117787022517,0.013427223873599192,0.07048230699980884,0.02245461903417778,14.838280385686936,14.8406569380077,-12.55078517915478,-11.442297527681264,2480.0,2023-11-28 08:20:11.280997722+00:00,2023112700403.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.11855094845726395,186.97134699271402,0.0,174.01415461812365,106.67346446036699,871.51612378228,619.6434547793207,7.993739658934857,57.82771397513427,7.1929882915945,0.9557731911820952,8.266059085778078,0.0,2.14256249399399,3.1.0,2.0,,60.0,2.14256249399399,-87.4705010256381,-186.13380782091352,10.0,743.0,,empty,6.500497873956988,-416.41542535074683,19.516123782280005,520.0,1657.0,852.0,897.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7122851671451486,0.00023564050997184163,1.0,0.0,0.0,0.0,0.0,0.00019661398031804166,1.7382674670446336,0.0,304.16623343381355,1.0378703644584957,2.9218094815230256,0.009240907451960061,1.0,0.0,1.0,0.0,186.91009772652677,0.003240188293948713,1.0793349800975127,0.014298297696479787,0.03038974019001368,0.0,0.1212381401560068,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,-0.15226757070739422,0.0003898743794546026,-0.05570602873175809,0.0009451846272283972,1.0707508861316966,0.002310364076619562,6.674170874927489,0.0033656097357103285,-2.707260382991236,0.007624377674828123,0.7494259917304923,0.0203007778331923,2.9023381915256072,0.0015249197357715969,-0.5891457334560862,0.003434856570745761,-0.07947239790083829,0.00913486714841751,11333.333333333392,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,0.1559401777005873,0.07967548384781019,-5.243971763993837,0.26827887384294336,-5.574889929295634,0.2225855780521035,6.493064742416404,0.021359470918356424,0.0,0.0,0.0,0.0,2.541475514629294,0.008337830552033524,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77740876922266,0.0,0.0,0.0,0.0,0.0,2.9484029210663047,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7191383563696375,0.0006620578308848829,0.0,0.0,0.001973449470214679,0.0005035441390393749,3.0,0.0,312.3525893118511,5.276552213207343,2.9828201619064973,0.02889327417624834,2.3873888242512336,0.03117817576424022,186.84677406690227,0.006346091540750601,0.9557731911820952,0.0,0.0,0.0,2023-11-28 08:20:11.280997722+00:00,1165.5125,1165.5125
1,z,2023112800553,2023-11-29 07:24:37.618001920,14.822208005759606,14.124349229134662,0.0050999514463314,0.0037628445329961,-12.484522411953678,-13.19059463910245,0.007221766560705571,0.0037688994849955078,y,2023112800554,2023-11-29 07:25:25.523504128,14.806644421658683,14.0188186127489,0.0097007929483705,0.0064535607616274,-11.400842992686881,-12.146241117889796,0.01854992122006498,0.0093364724377169,47.905502,1.0277382091447285,1.0271095282746037,3596.206693492364,1623.1301115997169,2709.47310280508,3283.735390865622,3588.4900585019213,1623.9872661172285,2701.912770331527,3284.498229987081,0.697858776624944,0.006337862710286204,0.7060722271487716,0.008146073629996513,0.7878258089097834,0.011651344571815377,0.7453981252029145,0.020767024217515237,0.015563584100922512,0.010959693817898955,-1.0836794192667973,0.019906116887226957,0.10553061638576189,0.007470438105192725,-1.0443535212126545,0.010068481559214713,0.08996703228483938,0.013263571693386666,0.03932589805414288,0.0223075729391655,14.822208005759606,14.806644421658683,-12.484522411953678,-11.400842992686881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,z,2023112800593,2023-11-29 08:02:35.646496000,14.8137069826606,14.133744027049302,0.0054258049691225,0.0039978577934776,-12.53552538080559,-13.193682608454964,0.007987355758525702,0.004356524265590309,y,2023112800594,2023-11-29 08:03:23.855992064,14.860153485465093,14.073719865646211,0.011234043664319,0.0068556523219783,-11.36037213216592,-12.157359172336994,0.02153982707423791,0.01033825871785457,48.209496,1.007886045310306,1.00768264777778,2563.888634643367,106.00055946055784,1676.9103099793808,1766.3573955716035,2556.204914272996,108.98260699464797,1669.3216398642453,1769.2419872079538,0.6799629556112983,0.006739601360601679,0.6581572276493741,0.009098195188603666,0.7864336198188813,0.013160687892799233,0.7969870401710732,0.023892336505778763,-0.046446502804492695,0.0124757002454684,-1.1751532486396687,0.022973071244422806,0.060024161403090304,0.007936172610063118,-1.0363234361179696,0.011218685172246041,0.106470664207583,0.014786004609477718,0.13882981252169913,0.025566010627301617,14.8137069826606,14.860153485465093,-12.53552538080559,-11.36037213216592,2516.0,2023-11-29 08:25:52.884505404+00:00,2023112800617.0,-64.0,2.0,1136.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.06045443171004598,188.33916625202554,0.0,176.51346484872948,96.40418322285038,879.0343742256517,619.6434547793207,37.27593720314938,75.55055174240661,11.590253232367216,0.3483225088037055,50.88793210331438,0.0,2.143548366082,3.1.0,2.0,,60.0,2.143548366082,-87.4686451336745,-183.5728694064015,10.875,740.75,6.27500009536743,empty,4.146210364731019,-418.47701029896876,20.034374225651703,514.0,1650.0,859.0,904.0,1136.0,45.0,2.0,11333.333333333334,1.0,0.7995417881276575,0.0038713506747469896,1.0,0.0,0.0,0.0,0.04800224087575812,0.002255619187733825,1.2068835704581858e-07,0.006654715668817788,281.0172054123259,1.0953125992345167,2.5843890157782567,0.010962381164844855,1.0,0.0,1.0,0.0,187.0605486658776,0.00402908633343979,0.6567572882897973,0.014919517419454737,0.276010854777387,0.0,0.10778610275381677,0.0,986.3266819025391,0.0,567.5100745074917,0.0,-0.01001194151210886,0.0,-0.1728598165670055,0.0008077887269089094,0.15200763601799602,0.002381107960547602,0.9955157030757033,0.0051415743614619275,13.053371652352778,0.01033172151976447,-3.4916295640752733,0.02771666770807582,4.903697788632854,0.07317484805741986,3.263725253352307,0.003131051450177082,-0.34919176333280727,0.009119133487835208,1.3939725412793154,0.024603530886381245,11333.333333333369,0.0,986.3266819025391,0.0,567.5100745074917,0.0,-0.01001194151210886,0.0,0.5308233398116975,0.19652388383488084,-3.7283611385050275,0.6659256112735645,-6.701880686341843,0.557161521669664,11.777751383807551,0.07663403533953235,0.0,0.0,0.0,0.0,2.4959073401358336,0.017255856168411937,0.0,0.0,0.0,0.0,11333.333333333369,0.0,986.3266819025391,0.0,567.5100745074917,0.0,-0.01001194151210886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.217520123530562,0.0,0.0,0.0,0.0,0.0,8.304261828140993,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,1.6953130544285555,9.367252571456318,0.0,0.0,0.1,0.0,0.1599421924553176,119.67660721092773,0.0,290296.39374290284,0.0,6957.549517797309,1.1993798180669735,10.661930664770585,188.3440114014942,0.2391610273207431,0.3483225088037055,0.0,0.0,0.0,2023-11-29 08:25:52.884505404+00:00,1397.238009,1397.238009
3,z,2023112800597,2023-11-29 08:06:22.719508992,14.804536764266892,14.136072493778212,0.0052216288405791,0.0039338820685571,-12.555174505162636,-13.1988468672074,0.007359282528949508,0.004067864997835133,y,2023112800598,2023-11-29 08:07:10.968004096,14.833691797315634,14.06211231645841,0.011964044365492,0.008093056373558,-11.363998270719682,-12.142665100198931,0.01970161634757016,0.009616900571896465,48.248495,1.0070179678097184,1.0068547534185908,2011.4239340900208,108.89936198200246,1123.9674446016577,1768.6952048461503,2003.3691258685787,106.9118337925973,1116.0195703017828,1766.7597421783366,0.6684642704886805,0.006537647579831948,0.6436723620447644,0.008408719580382836,0.7715794808572234,0.014444234803029499,0.7786668294792491,0.021923468323159688,-0.029155033048741785,0.013053879321038183,-1.1911762344429544,0.021031232157145363,0.07396017731980109,0.008998499296821824,-1.0561817670084697,0.010441853391537097,0.10311521036854288,0.01585486533916738,0.13499446743448473,0.023480737388295536,14.804536764266892,14.833691797315634,-12.555174505162636,-11.363998270719682,2516.0,2023-11-29 08:25:52.884505404+00:00,2023112800617.0,-64.0,2.0,1136.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.06045443171004598,188.33916625202554,0.0,176.51346484872948,96.40418322285038,879.0343742256517,619.6434547793207,37.27593720314938,75.55055174240661,11.590253232367216,0.3483225088037055,50.88793210331438,0.0,2.143548366082,3.1.0,2.0,,60.0,2.143548366082,-87.4686451336745,-183.5728694064015,10.875,740.75,6.27500009536743,empty,4.146210364731019,-418.47701029896876,20.034374225651703,514.0,1650.0,859.0,904.0,1136.0,45.0,2.0,11333.333333333334,1.0,0.7995417881276575,0.0038713506747469896,1.0,0.0,0.0,0.0,0.04800224087575812,0.002255619187733825,1.2068835704581858e-07,0.006654715668817788,281.0172054123259,1.0953125992345167,2.5843890157782567,0.010962381164844855,1.0,0.0,1.0,0.0,187.0605486658776,0.00402908633343979,0.6567572882897973,0.014919517419454737,0.276010854777387,0.0,0.10778610275381677,0.0,986.3266819025391,0.0,567.5100745074917,0.0,-0.01001194151210886,0.0,-0.1728598165670055,0.0008077887269089094,0.15200763601799602,0.002381107960547602,0.9955157030757033,0.0051415743614619275,13.053371652352778,0.01033172151976447,-3.4916295640752733,0.02771666770807582,4.903697788632854,0.07317484805741986,3.263725253352307,0.003131051450177082,-0.34919176333280727,0.009119133487835208,1.3939725412793154,0.024603530886381245,11333.333333333369,0.0,986.3266819025391,0.0,567.5100745074917,0.0,-0.01001194151210886,0.0,0.5308233398116975,0.19652388383488084,-3.7283611385050275,0.6659256112735645,-6.701880686341843,0.557161521669664,11.777751383807551,0.07663403533953235,0.0,0.0,0.0,0.0,2.4959073401358336,0.017255856168411937,0.0,0.0,0.0,0.0,11333.333333333369,0.0,986.3266819025391,0.0,567.5100745074917,0.0,-0.01001194151210886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.217520123530562,0.0,0.0,0.0,0.0,0.0,8.304261828140993,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,1.6953130544285555,9.367252571456318,0.0,0.0,0.1,0.0,0.1599421924553176,119.67660721092773,0.0,290296.39374290284,0.0,6957.549517797309,1.1993798180669735,10.661930664770585,188.3440114014942,0.2391610273207431,0.3483225088037055,0.0,0.0,0.0,2023-11-29 08:25:52.884505404+00:00,1170.164996,1170.164996
4,z,2023112900583,2023-11-30 07:13:23.680505088,14.793032970226363,14.14968423463822,0.0052234361376095,0.0037736093333716,-12.521768126693376,-13.214094491531391,0.007865902788549444,0.004157363788180077,y,2023112900584,2023-11-30 07:14:11.615502080,14.924207727799068,14.137299430389463,0.0109689137411834,0.006764757593297,-11.363876996335922,-12.165156456127754,0.021162342248792352,0.010117004655356634,47.934996,1.0341216167250469,1.0334021531562354,2071.8900505301917,1688.4572744243526,1184.3997548345249,3348.4051339470343,2065.656500523169,1686.833150122382,1178.0772003741313,3346.62107436721,0.6433487355881429,0.006443943861067856,0.6923263648380154,0.008896971414261198,0.7869082974096049,0.012887164698163495,0.8012794597918322,0.023456310721243646,-0.1311747575727047,0.0121491297525875,-1.157891130357454,0.022576916444322765,0.01238480424875732,0.007746100483274063,-1.048938035403637,0.010937890878216824,0.143559561821462,0.014408449827867865,0.10895309495381689,0.025086941084909307,14.793032970226363,14.924207727799068,-12.521768126693376,-11.363876996335922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,z,2023113000617,2023-12-01 07:44:16.021490944,14.790932694272858,14.13260661947256,0.0053069193304757,0.0037793968904943,-12.5025649324005,-13.182046563469875,0.008062903043140153,0.0043121989052770865,y,2023113000618,2023-12-01 07:45:03.887491072,14.844546187963829,14.063416954116573,0.0110039880491796,0.0066580102734328,-11.353694337503375,-12.15904469645968,0.021579979575880936,0.010278053778275375,47.866,1.0113451395102926,1.0110287583023831,2827.693331742389,333.115181007254,1940.760546703161,1993.3171692259205,2821.372634844781,331.35942190779576,1934.216913124985,1991.333207141885,0.6583260748002981,0.0065151541529003465,0.6794816310693754,0.009143602401775332,0.7811292338472562,0.012861448354972474,0.8053503589563054,0.023902592076269866,-0.053613493690971126,0.012216838615888487,-1.148870594897124,0.023037055453736206,0.06918966535598692,0.007655908937351246,-1.0230018670101941,0.011146005960333666,0.12280315904695804,0.014417492411084488,0.12586872788692993,0.025591783307270924,14.790932694272858,14.844546187963829,-12.5025649324005,-11.353694337503375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,z,2023120400557,2023-12-05 06:52:15.455501056,14.806013300717268,14.137881880817254,0.0049046090143826,0.0036873778492207,-12.508090668472434,-13.211683957875334,0.00798807661525653,0.00417835086555453,y,2023120400554,2023-12-05 06:49:12.340497920,14.82983245870165,14.066492106529138,0.0093805402535276,0.0060127235729639,-11.334352022651654,-12.193176539402081,0.02093953681952311,0.009493738479506214,-183.115004,1.035373113876128,1.0382085425764018,3012.3262849239777,1814.745691714734,2125.328409770243,3474.735366341816,3554.8052035912715,1810.5745560375888,2668.198903190484,3471.247629888081,0.6681314199000141,0.006136118071459066,0.7035932894028996,0.009014875704461404,0.7633403521725128,0.011142144327414154,0.8588245167504276,0.02299119989329441,-0.0238191579843825,0.010585354270501045,-1.1737386458207801,0.02241146068928512,0.07138977428811621,0.0070533396464227665,-1.018507418473252,0.010372544831088331,0.09520893227249871,0.012720036367865225,0.15523122734752803,0.024695409624063934,14.806013300717268,14.82983245870165,-12.508090668472434,-11.334352022651654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,z,2023120400611,2023-12-05 07:39:03.045996032,14.77861360954173,14.143851074053872,0.0053142513635512,0.0038380957516437,-12.51070542963496,-13.190181604530355,0.007809066544406751,0.00417646314834959,y,2023120400612,2023-12-05 07:39:51.003499008,14.818080818139308,14.036616009258143,0.0105191860931998,0.0066402658298359,-11.356577858293946,-12.167278540772717,0.0207815261488064,0.009849114016639312,47.957502,1.00788918362877,1.0076871978928357,2437.5831747931143,309.0283094352338,1550.6151911598256,1969.0454633774536,2429.459221279232,312.68265898048867,1542.5991692551156,1972.746299127004,0.6347625354878588,0.0065553220022963946,0.6794761748953952,0.008855753199163523,0.7814648088811644,0.012439710862968412,0.810700682478771,0.022997323235243818,-0.039467208597576686,0.011785352927187792,-1.1541275713410144,0.022200300659416687,0.10723506479572897,0.007669687691794998,-1.0229030637576386,0.01069803212475468,0.14670227339330566,0.014061246491973801,0.13122450758337578,0.024643482722837295,14.77861360954173,14.818080818139308,-12.51070542963496,-11.356577858293946,2588.0,2023-12-05 07:54:48.307990779+00:00,2023120400623.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.12083544545088351,186.8844842971826,0.0,174.65995728341073,105.55376781517518,878.3830763820238,619.6434547793207,2.6178062485068376,57.41751055879885,6.962752709996433,0.948262629360399,10.332033623134732,0.0,2.14227162009967,3.1.0,2.0,,60.0,2.14227162009967,-87.4787317019484,-185.4716721061915,8.69999980926514,738.95,24.7999992370605,empty,6.008048727976018,-416.4397505748604,19.38307638202376,519.0,1656.0,859.0,904.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.711380354080663,0.00016819306690679612,1.0,0.0,0.0,0.0,0.0027319276647525853,0.00013617527118693726,2.7408924889438038,0.0,307.1510453084895,1.0249655740202388,2.96924008407664,0.009041455017837128,1.0,0.0,1.0,0.0,186.92648469919362,0.0029527746962813837,1.1176547201330318,0.015764666079724356,-0.28303740337220634,0.0,0.12566192661495101,0.0,985.3927744691454,0.0,568.0202311651235,0.0,-0.01997000117042684,0.0,-0.13777359645512188,0.0003679178937356208,-0.08082771482051193,0.0008734881238838312,0.9554534549175031,0.0021490368300847427,6.548388239008565,0.003190738530977764,-2.44905129424687,0.007191815226258568,0.8897913207362916,0.0192300766104253,2.988320270016967,0.0015327831680623364,-0.5527545243859977,0.003451286900272679,0.01634104423798708,0.009223676113498868,11333.333333333394,0.0,985.3927744691454,0.0,568.0202311651235,0.0,-0.01997000117042684,0.0,0.22324978512173835,0.07364016745512961,-5.482168613700792,0.24734901580981966,-6.302409945589292,0.20476860342545886,6.070984671905419,0.017836764825468858,0.0,0.0,0.0,0.0,2.451224084821029,0.006904478294308865,0.0,0.0,0.0,0.0,11333.333333333394,0.0,985.3927744691454,0.0,568.0202311651235,0.0,-0.01997000117042684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.689613778574942,0.0,0.0,0.0,0.0,0.0,3.057120459025881,0.0,0.0,0.0,0.0,0.0,11333.333333333394,0.0,0.7153342151157069,0.0006541955272097936,0.0,0.0,0.00544296826937464,0.0005009195761612021,3.0,0.0,325.84337780193255,5.29525977101686,2.9439773843800143,0.027240321662073363,1.6282967200011353,0.03202492974097733,186.8716058645202,0.0057722860664275195,0.948262629360399,0.0,0.0,0.0,2023-12-05 07:54:48.307990779+00:00,945.261994,945.261994
8,z,2023120400615,2023-12-05 07:42:49.721005056,14.783909039444618,14.243848502105791,0.0047762022309359,0.0035990982859253,-12.547391466824793,-13.197670878615295,0.007229338187441896,0.003971794560935118,y,2023120400612,2023-12-05 07:39:51.003499008,14.818080818139308,14.036616009258143,0.0105191860931998,0.0066402658298359,-11.356577858293946,-12.167278540772717,0.0207815261488064,0.009849114016639312,-178.717507,1.0070243319901977,1.0076871978928357,1885.6436041138957,319.4272662847215,998.179233568736,1979.362995309176,2429.459221279232,312.68265898048867,1542.5991692551156,1972.746299127004,0.5400605373388263,0.005980436123105697,0.6502794117905015,0.008248544275366379,0.7814648088811644,0.012439710862968412,0.810700682478771,0.022997323235243818,-0.03417177869468979,0.011552721922307536,-1.1908136085308474,0.022003071596982313,0.20723249284764833,0.007552922531221718,-1.0303923378425779,0.010619802208470492,0.24140427154233812,0.01380260926697564,0.1604212706882695,0.02443185131440032,14.783909039444618,14.818080818139308,-12.547391466824793,-11.356577858293946,2588.0,2023-12-05 07:54:48.307990779+00:00,2023120400623.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.12083544545088351,186.8844842971826,0.0,174.65995728341073,105.55376781517518,878.3830763820238,619.6434547793207,2.6178062485068376,57.41751055879885,6.962752709996433,0.948262629360399,10.332033623134732,0.0,2.14227162009967,3.1.0,2.0,,60.0,2.14227162009967,-87.4787317019484,-185.4716721061915,8.69999980926514,738.95,24.7999992370605,empty,6.008048727976018,-416.4397505748604,19.38307638202376,519.0,1656.0,859.0,904.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.711380354080663,0.00016819306690679612,1.0,0.0,0.0,0.0,0.0027319276647525853,0.00013617527118693726,2.7408924889438038,0.0,307.1510453084895,1.0249655740202388,2.96924008407664,0.009041455017837128,1.0,0.0,1.0,0.0,186.92648469919362,0.0029527746962813837,1.1176547201330318,0.015764666079724356,-0.28303740337220634,0.0,0.12566192661495101,0.0,985.3927744691454,0.0,568.0202311651235,0.0,-0.01997000117042684,0.0,-0.13777359645512188,0.0003679178937356208,-0.08082771482051193,0.0008734881238838312,0.9554534549175031,0.0021490368300847427,6.548388239008565,0.003190738530977764,-2.44905129424687,0.007191815226258568,0.8897913207362916,0.0192300766104253,2.988320270016967,0.0015327831680623364,-0.5527545243859977,0.003451286900272679,0.01634104423798708,0.009223676113498868,11333.333333333394,0.0,985.3927744691454,0.0,568.0202311651235,0.0,-0.01997000117042684,0.0,0.22324978512173835,0.07364016745512961,-5.482168613700792,0.24734901580981966,-6.302409945589292,0.20476860342545886,6.070984671905419,0.017836764825468858,0.0,0.0,0.0,0.0,2.451224084821029,0.006904478294308865,0.0,0.0,0.0,0.0,11333.333333333394,0.0,985.3927744691454,0.0,568.0202311651235,0.0,-0.01997000117042684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.689613778574942,0.0,0.0,0.0,0.0,0.0,3.057120459025881,0.0,0.0,0.0,0.0,0.0,11333.333333333394,0.0,0.7153342151157069,0.0006541955272097936,0.0,0.0,0.00544296826937464,0.0005009195761612021,3.0,0.0,325.84337780193255,5.29525977101686,2.9439773843800143,0.027240321662073363,1.6282967200011353,0.03202492974097733,186.8716058645202,0.0057722860664275195,0.948262629360399,0.0,0.0,0.0,2023-12-05 07:54:48.307990779+00:00,718.586985,718.586985
9,z,2023120500511,2023-12-06 06:53:43.370509056,14.798744635925168,14.15063167305471,0.0048032388943123,0.0035391001822107,-12.502162120343144,-13.20999697953604,0.008098889644650883,0.0042197967920380094,y,2023120500512,2023-12-06 06:54:31.018993920,14.84513697410489,14.078366404175512,0.0095218347369664,0.0063411609550239,-11.371965810877853,-12.179173776474219,0.02163317730721824,0.010285777454004856,47.648484,1.0306160373802966,1.0299490901088892,2644.831276340918,1569.1759366393492,1757.7818329419306,3229.179545163676,2636.635234461151,1568.875530203589,1749.5915476629557,3229.0067191733638,0.6481129628704583,0.0059662663346148285,0.7078348591928965,0.009132288784435564,0.7667705699293776,0.011440089991587462,0.8072079655963655,0.023953947028388805,-0.04639233817972155,0.010664728812020229,-1.1301963094652905,0.023099488606498967,0.07226526887919782,0.0072619248383086026,-1.0308232030618214,0.01111772921056314,0.11865760705891937,0.012902402605374622,0.09937310640346908,0.025635722667426104,14.798744635925168,14.84513697410489,-12.502162120343144,-11.371965810877853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
