,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,WINDSPD,WINDDIR,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,P [hPa],P [hPa]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,ex_id,ex_obs_id,ex_day_obs,ex_seq_num,ex_time_start,ex_time_end,ex_type,ex_target,ex_filter,ex_expos,ex_tr_ra,ex_tr_dec,ex_skyangle,ex_azimuth,ex_zenith,ex_science_program,ex_jd,ex_mjd,nightObs,Time,dt_abs_specphot,td_rel_specphot
0,g,2023112700357,2023-11-28 07:36:23.772502016,14.291772020610662,14.5243715666387,0.003489789532986,0.0036792511799179,14.311089120424024,14.511436715840052,0.0030856198054182,0.0032248774442791,r,2023112700358,2023-11-28 07:37:10.383496960,13.98974453835153,13.729427359600528,0.0030315008033668,0.0028048993588001,13.968927024739152,13.707870190657442,0.0027410125127114,0.0020379306035514,46.610994,1.0222720071953,1.0217434161050496,3432.7621597855014,1306.0031280658754,3125.027935024898,3811.2600551424994,3435.7777519006736,1306.9015904417454,3128.19555343082,3812.486824167975,-0.23259954602803923,0.005071047251748489,-0.2003475954160283,0.004463281765047906,0.26031717875100213,0.004130067497488481,0.2610568340817103,0.0034155981525542255,0.3020274822591311,0.004622621345660079,0.34216209568487166,0.0041272508014935936,0.7949442070381725,0.004626483508878473,0.8035665251826103,0.003814838879364563,0.49291672477904136,0.006540105332735602,0.46140442949773863,0.00562024864698538,14.5243715666387,13.98974453835153,14.511436715840052,13.968927024739152,2481,2023-11-28 08:20:11.280997722+00:00,2023112700403,-64,2,1021,3,True,HD185975,-6.5e-05,holo4_003,0.21468421450471784,186.93144367280658,0.0,174.01415461812365,106.76993561170455,870.0191551006723,616.0701446393384,3.907284189273531,52.235325979628165,7.408085792429342,1.0010095220113346,8.477588244791145,0.0,2.14256249399399,3.1.0,2,,60.0,2.14256249399399,-87.4705010256381,-186.13380782091352,10.0,743.0,,empty,6.500497873956988,-416.3702239421281,18.01915510067232,520,1541,852,897,1021,45,2,11333.333333333334,1,6.838799953460693,8.66008472442627,1.0,0.0,1.1575151483730113,0.0019167087359823524,0.0,0.0,0.04188813906961113,0.00011672599801722425,0.0,0.007652901808891968,317.4603316050533,1.20685051357432,3.3135645517819254,0.011797324116109214,1.0,0.0,1.0,0.0,186.98767756761066,0.004389932295783247,0.46002686431296647,0.019889181630013818,-1.7508004039199228,0.005619770503028008,0.22586233124281993,0.00035214940816890943,632.4456641465416,0.2834409997769301,927.3825727866381,0.0,510.0311185793721,0.0,-0.029419390982447894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.746037850355702,0.004492930278479823,-2.4479410530873573,0.011796373946287998,1.596779425165743,0.024311536637637632,2.864274405043541,0.0019868734933992586,-0.4089447608407677,0.005348439550486855,0.5348977697749621,0.011425086891984708,11333.33333333336,0.0,927.3825727866381,0.0,510.0311185793721,0.0,-0.029419390982447894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8115845419562335,0.02118127565842716,0.0,0.0,0.0,0.0,1.7871216792826212,0.006205889355908221,0.0,0.0,0.0,0.0,11333.33333333336,0.0,927.3825727866381,0.0,510.0311185793721,0.0,-0.029419390982447894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.929103623922495,0.0,0.0,0.0,0.0,0.0,2.9514662320758327,0.0,0.0,0.0,0.0,0.0,11333.33333333336,0.0,1.0,0.0,0.0,0.0,0.040580108509240084,0.0005868876215417535,0.041230658425338636,0.033791539684403626,362.31972780554287,6.600268227756554,2.8126757341300785,0.034797302730455934,2.3393007677475595,0.08361737194140488,186.8384733519267,0.011109560892817226,1.0010095220113346,0.0,0.0,0.0,2023112700403,AT_O_20231127_000403,20231127,403,2023-11-28 08:20:18.163995,2023-11-28 08:21:18.398,science,HD185975,empty~holo4_003,60.0,307.10983460817096,-87.47050102563807,263.4995021260426,180.43704052582447,62.30925963923844,spec-survey,2460276.8474324537,60276.34743245365,20231127,2023-11-28 08:20:11.280997722+00:00,2627.508495,2627.508495
1,g,2024022000351,2024-02-21 02:43:54.152499968,14.311742458955736,14.527562514980662,0.0034395391650031,0.0036209288573352,14.299497982604,14.522720755700773,0.0028057467237203,0.0031867348880715,r,2024022000352,2024-02-21 02:44:41.033003008,13.9378823906339,13.694005946896466,0.0032393855787644,0.0030517003970638,13.96578897266443,13.705415996283568,0.0025471675612829,0.0020603230556572,46.880503,1.0058564471963576,1.0057776837680026,3580.7477589858454,110.58997121679242,3273.182538731019,2616.220382192734,3577.2302471400963,110.88315690552648,3269.8009165371163,2616.586386671255,-0.21582005602492593,0.004994152125984252,-0.2232227730967722,0.004245879640842316,0.24387644373743456,0.004450448768534036,0.26037297638086265,0.0032761247959936595,0.3738600683218358,0.00472483318176388,0.33370900993956987,0.003789495647565659,0.8335565680841963,0.004735398726962932,0.8173047594172047,0.0037947609068984434,0.4596964997623605,0.006689398306187123,0.48359574947763484,0.005362880532274029,14.527562514980662,13.9378823906339,14.522720755700773,13.96578897266443,2881,2024-02-21 03:14:39.458507069+00:00,2024022000378,-64,2,1021,3,True,HD38666,0.000364,holo4_003,0.23450310946677547,187.05714594400894,0.0,97.99215154989616,103.22761165272897,866.199989970126,500.38579450508627,79.13616496498608,56.29804724837771,4.3940054462473785,1.2393735208490622,166.13282909210068,0.0,1.22600014068268,3.1.0,2,,30.0,1.22600014068268,-32.3177761758415,41.65960486039171,13.125,744.95,56.0999984741211,empty,82.174830176809,-416.5231461204212,17.199989970126012,516,1537,849,894,1021,45,2,22666.666666666668,1,1.9182000160217285,10.395000457763672,1.0,0.0,0.9536498987167533,0.0003760697446905222,0.0,0.0,0.06355655532438965,0.00012807005507654395,0.28923339146606664,0.010786451171313905,388.08618953456744,1.9003268058826772,4.430029229917588,0.026575122406956066,1.0,0.0,1.0,0.0,187.43556544074823,0.004074091265421483,-1.0446005475137514,0.009588965638270925,-1.8627745922023775,0.001057642005574352,0.23091253410054954,7.736948023318552e-05,487.9775026334966,0.18472137277971373,927.7770821364245,0.0,510.00828745055304,0.0,-0.008211379968318274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8438569061478414,0.0010019195268201628,0.23338629416808418,0.0031143441674399493,0.5159781611024338,0.005461810542316363,1.9283336253068628,0.00036530507796504806,0.05554176691945325,0.0014429142720485376,-0.07676817326425497,0.0022997571022800264,22666.666666666715,0.0,927.7770821364245,0.0,510.00828745055304,0.0,-0.008211379968318274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.462471788187389,0.003156144586447441,0.0,0.0,0.0,0.0,1.9675527924954352,0.0013447070550001213,0.0,0.0,0.0,0.0,22666.666666666715,0.0,927.7770821364245,0.0,510.00828745055304,0.0,-0.008211379968318274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.229772689578594,0.0,0.0,0.0,0.0,0.0,2.091539874080813,0.0,0.0,0.0,0.0,0.0,22666.666666666715,0.0,1.0,0.0,0.0,0.0,0.10903581518787386,0.0009621505501688052,0.6661290556967538,0.023139205415084164,518.0361330361101,11.032750822249325,5.00864503980663,0.05539908271387011,1.5973663654948558,0.06996244187749891,186.85661035016562,0.007725449471098912,1.2393735208490622,0.0,0.0,0.0,2024022000378,AT_O_20240220_000378,20240220,378,2024-02-21 03:15:01.337014,2024-02-21 03:15:31.580,science,HD38666,empty~holo4_003,30.0,86.5017005922968,-32.31777617584151,187.8251698231913,255.64766120163517,35.43956300952204,spec-survey,2460361.6354321414,60361.13543214137,20240220,2024-02-21 03:14:39.458507069+00:00,1845.306007,1845.306007
2,g,2024032500194,2024-03-26 03:47:11.576505088,14.32627345077995,14.51011147750567,0.0035963949304651,0.003801257949921,14.305481049030597,14.495353599899689,0.0031172363607885,0.0035111244228337,r,2024032500195,2024-03-26 03:47:58.523490048,14.03132066813204,13.729079108588016,0.0031083395217021,0.0028783050155454,13.979590669845969,13.700146014167704,0.0026789752153029,0.0021469484726324,46.946984,1.2998627800364944,1.3028385328683028,3607.992830202311,1363.8639558826187,3299.3722101786807,3869.229356645253,3602.546681945205,1365.3068032914723,3294.0275039542626,3871.100706668032,-0.18383802672572003,0.0052329359347991905,-0.18987255086909194,0.004695227070296091,0.302241559544024,0.004236320850064245,0.27944465567826526,0.003433117526148182,0.29495278264791125,0.0047535072397178815,0.32589037918462793,0.004110239741575807,0.7810323689176553,0.004768039614385708,0.7952075857319851,0.00411550512777689,0.486079586269744,0.006732758189806146,0.4693172065473572,0.005816481169056341,14.51011147750567,14.03132066813204,14.495353599899689,13.979590669845969,3196,2024-03-26 03:09:55.225992146+00:00,2024032500157,-64,2,1020,3,True,HD38666,0.000364,holo4_003,0.22148412010038648,187.13592097795433,0.0,109.75892761570124,98.69068315825608,865.4402626497985,500.38579450508627,2.719372423802926,147.5280127086179,4.422774067438761,1.034922521982081,169.1218076513129,0.0,2.11364952418935,3.1.0,2,,30.0,2.11364952418935,-32.3205846300947,73.99230677063201,14.8999996185303,743.6,52.7999992370605,empty,70.422657713776,-417.4745818281487,15.440262649798441,514,1534,850,895,1020,45,2,22666.666666666668,1,2.0850000381469727,32.150001525878906,1.0,0.0,0.9690968168620374,0.0003361797190561851,0.0,0.0,0.03507741057588895,6.029837429027121e-05,0.4645996212026171,0.006892467246467205,366.01977251074334,0.7801730647432061,4.401010165851177,0.011062453921625245,1.0,0.0,1.0,0.0,187.0076334686361,0.002121672886458585,0.9409350122799514,0.00575119994764683,-3.8156221865406494,0.0008796962373489726,0.21845540115133288,5.791911331268456e-05,633.8726011775391,0.048119206022246716,928.0475933809342,0.0,509.5262331826018,0.0,-0.026340707430998995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9371494168667125,0.0008964593291555994,-0.8664168384151126,0.0018916088340301166,0.3305701259038926,0.00399315356323114,1.921685185510216,0.0003289800569317251,-0.0903811712175699,0.0007898453518111837,-0.11760321233460941,0.0015278425425393747,22666.666666666726,0.0,928.0475933809342,0.0,509.5262331826018,0.0,-0.026340707430998995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7082987364860216,0.002358108220591026,0.0,0.0,0.0,0.0,1.720657742141872,0.0009555686162345637,0.0,0.0,0.0,0.0,22666.666666666726,0.0,928.0475933809342,0.0,509.5262331826018,0.0,-0.026340707430998995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2861834261165925,0.0,0.0,0.0,0.0,0.0,2.056009765241989,0.0,0.0,0.0,0.0,0.0,22666.666666666726,0.0,1.0,0.0,0.0,0.0,0.044440874425531046,0.0005545337746953506,0.8314981693616441,0.03483426894849764,372.6464891714643,6.403019837612942,5.0960134611141505,0.04555499197574253,3.8441444203217685,0.08435233908128044,186.85867001643595,0.010678900064364382,1.034922521982081,0.0,0.0,0.0,2024032500157,AT_O_20240325_000157,20240325,157,2024-03-26 03:10:17.108984,2024-03-26 03:10:47.343,science,HD38666,empty~holo4_003,30.0,86.49222858433951,-32.32058463009475,199.57734228622436,247.01966529189176,61.91644861534946,spec-survey,2460395.632142465,60395.132142465096,20240325,2024-03-26 03:09:55.225992146+00:00,2236.350513,-2236.350513
3,g,2024041700484,2024-04-18 04:08:12.838010112,14.332546470542994,14.522657529488397,0.0037850995948202,0.0039697302845082,14.319458555467255,14.50474126625631,0.003183515909468,0.0035460334252792,r,2024041700485,2024-04-18 04:08:59.591002112,13.96386797888376,13.67487270981412,0.0032468992823812,0.0030174697963626,13.948671787747852,13.667745085565572,0.0027309258237342,0.0021814862482961,46.752992,2.10994799353189,2.12021826322916,3728.0458602715735,1338.9407734907425,3418.098485459263,3844.9182995275137,3719.577993028174,1343.0160236802285,3410.9410377109816,3848.714748897839,-0.19011105894540314,0.005485046715794643,-0.18528271078905512,0.004765409384201236,0.2889952690696411,0.004432547678467554,0.28092670218227944,0.003495259376104056,0.3686784916592334,0.004986916270866756,0.37078676771940344,0.004194368772601449,0.8477848196742777,0.0049863696717854875,0.836996180690738,0.004163320226057843,0.47910632801504427,0.007052178131353299,0.46620941297133456,0.0059098193462471015,14.522657529488397,13.96386797888376,14.50474126625631,13.948671787747852,3404,2024-04-18 03:56:37.884509609+00:00,2024041700482,-64,2,1020,3,True,HD185975,-6.5e-05,holo4_003,0.22483780093386244,187.01715450085698,0.0,-113.52393890714389,100.9850388631254,875.9824866410135,616.0701446393384,66.80554325835413,55.912575010068025,4.440030169811762,1.03691483663666,16.26588783588269,0.0,2.04512736753642,3.1.0,2,,60.0,2.04512736753642,-87.4674632369509,-112.18974002877148,17.25,745.1,6.67500019073486,empty,-65.638360086381,-417.2843138834252,17.982486641013494,515,1535,858,903,1020,45,2,11333.333333333334,1,2.418600082397461,174.25,1.0,0.0,1.0587796929882654,0.0012066529564868597,0.0,0.0,0.04757541250520983,0.00011896528285275768,0.0,0.006562321856323417,327.92050273938503,1.3169024649851833,3.4300423256453874,0.011370143642985357,1.0,0.0,1.0,0.0,186.96555039243665,0.0029710918959149238,0.6682564122707767,0.011576687538900352,-1.6455440190830666,0.0023686636013084722,0.2254099500429511,0.00014388662711664211,636.3339911424994,0.13570754965634435,927.8329600752523,0.0,509.52959410299593,0.0,-0.02797884312325979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.449335388698122,0.0018462586561089013,-1.4288393898813765,0.004377118723982811,0.6101842770275151,0.008941311529797812,2.260569406320717,0.0009420230000379674,-0.35850583684122345,0.0022219017658817036,0.07348302093821776,0.004614535611815083,11333.333333333369,0.0,927.8329600752523,0.0,509.52959410299593,0.0,-0.02797884312325979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7620143534666415,0.007734385631998015,0.0,0.0,0.0,0.0,1.7305554882045593,0.0033873920965662965,0.0,0.0,0.0,0.0,11333.333333333369,0.0,927.8329600752523,0.0,509.52959410299593,0.0,-0.02797884312325979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5676618739591515,0.0,0.0,0.0,0.0,0.0,2.3175356311075404,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,1.0,0.0,0.0,0.0,0.04631313885733473,0.0006206098591962093,0.0,0.03125687113905002,381.4607872318593,6.960731205925687,3.238884551456726,0.03507489948624717,2.2705944382259347,0.07497895649386163,186.78734400307766,0.008798058018257216,1.03691483663666,0.0,0.0,0.0,2024041700482,AT_O_20240417_000482,20240417,482,2024-04-18 03:56:44.762019,2024-04-18 03:57:45.007,science,HD185975,empty~holo4_003,60.0,307.05305616298955,-87.46746323695093,335.63836008638134,177.27547866149538,60.85637855358881,spec-survey,2460418.664406968,60418.164406967815,20240417,2024-04-18 03:56:37.884509609+00:00,694.953501,-694.953501
