,idx_pair,idx_obj1,idx_obj2,sep,refcol_psf_md,n_refcol_psf,refcol_ap_md,n_refcol_ap,muclip,sigmaclip,nclip,magmax
0,0.0,141.0,907.0,7.0,0.0899044643884448,39.0,0.09413490890302079,39.0,0.09401883732095288,0.026924888057133497,39.0,14.677653657997958
1,1.0,654.0,669.0,10.0,0.15738287232072246,25.0,0.1604601592879682,25.0,0.1605912065413404,0.02098880583225452,25.0,14.137260881540074
2,2.0,111.0,262.0,16.0,0.09406421543978727,34.0,0.09824834926820003,34.0,0.09890352062500822,0.026670156642066834,34.0,14.934727358212378
3,3.0,813.0,950.0,16.0,0.13436729311726303,27.0,0.1417819583030191,27.0,0.14291419029940447,0.03444135074193769,27.0,14.9073336035658
4,4.0,64.0,262.0,18.0,0.07324175244730124,10.0,0.09485690406429814,10.0,0.1011143149167367,0.03643480612055999,10.0,14.993679192857389
5,5.0,118.0,131.0,22.0,0.1292323397177917,28.0,0.13547715809384275,28.0,0.13464672810536632,0.030681835649044756,28.0,15.002123755061522
6,6.0,824.0,948.0,22.0,0.09053587093080395,9.0,0.09970847514719416,9.0,0.10003349214560843,0.009569961707841138,9.0,13.1062194003474
7,7.0,217.0,272.0,25.0,0.03751768167911784,78.0,0.033601851181861875,78.0,0.03523545340831747,0.020679406667504355,78.0,14.589221888444307
8,8.0,610.0,813.0,25.0,0.13579013564775444,36.0,0.13723614819571228,36.0,0.13221841464408202,0.025206177081129964,36.0,14.906497847384955
9,9.0,538.0,550.0,26.0,0.025274512342051914,8.0,0.026533116510853105,8.0,0.03702994399482784,0.026967374809835597,8.0,14.333892235454066
10,10.0,618.0,621.0,29.0,0.07467937164738814,1.0,0.06471581152006678,1.0,0.06471581152006678,0.0,1.0,14.8240945358591
11,11.0,150.0,257.0,30.0,0.10886605335029031,74.0,0.11291300509132185,74.0,0.11053991235919024,0.017528747691245766,74.0,14.149657875460523
12,12.0,180.0,385.0,30.0,0.022868450316107847,4.0,0.013945177787936025,4.0,0.015907928214248024,0.009074846701787646,4.0,14.053273623065675
13,13.0,101.0,118.0,30.0,0.09126853343521812,10.0,0.07796925464847781,10.0,0.0787888735730359,0.021369154186566354,10.0,14.991550560984436
14,14.0,64.0,111.0,31.0,0.020122261153615817,14.0,0.03587275402503298,14.0,0.0393431064952806,0.020436155467420235,14.0,14.994454259126329
15,15.0,175.0,308.0,32.0,0.028043736499769878,13.0,0.0203656920191726,13.0,0.03438787845784465,0.024812472197077114,13.0,14.904217139469642
16,16.0,369.0,523.0,33.0,0.052833833965863164,5.0,0.053842105470799595,5.0,0.04935401102441013,0.024562099204135174,5.0,14.422587580706514
17,17.0,715.0,948.0,34.0,0.05626476103677547,5.0,0.046877110893436935,5.0,0.057495080106391684,0.02309395102742982,5.0,14.9459759647292
18,18.0,272.0,478.0,35.0,0.09315589860308648,24.0,0.08442224704360246,24.0,0.08967748506680968,0.024743677819250947,24.0,14.492861922614573
