,objidx1,objidx2,G1_R1,G2_R2,Z1_Y1,Z2_Y2,sep
606,141.0,907.0,0.7350417839778682,0.9802829428936306,-0.114435582810545,,7.95370821539009
2060,654.0,669.0,0.3312012825731614,0.5338934680833116,0.0077697488820973,-0.1918272594524772,10.576830574427179
333,111.0,262.0,0.5407397106760765,0.1440649949977128,-0.1121622906534156,0.0057264380254409,16.129314459905544
2152,813.0,950.0,0.8642150276187834,1.3716271127683657,-0.175939274222328,,16.859073562926895
18,64.0,262.0,0.4804471102051302,0.1440649949977128,-0.0946389306007677,0.0057264380254409,18.28801300509761
382,118.0,131.0,0.3798562175365543,0.2734970111348254,-0.0991729534052208,0.0089768993939713,22.063944362171657
2161,824.0,948.0,1.5607499465338996,1.1472113494543803,-0.3478656610576447,,22.499018004835786
939,217.0,272.0,0.539712012701127,0.3443565958799794,-0.1364498662411186,-0.0824008272094793,25.09469679005221
1946,610.0,813.0,1.3569992791473489,0.8642150276187834,-0.3269390478661211,-0.175939274222328,25.64314452908628
1777,538.0,550.0,0.0044495280079726,0.3306816090929487,-0.0078382362108335,-0.0820574712389312,26.496769085577984
1959,618.0,621.0,0.3638977839865518,0.4747998361159471,-0.0542154659393929,-0.089738268432729,29.8655995562875
622,150.0,257.0,1.3920139742487887,0.5563878226718764,-0.3406909655776466,-0.1728355159895311,30.622070130140028
790,180.0,385.0,1.1549035717395917,1.3079163700459553,-0.2920876525947573,-0.3006173853868414,30.77859446280867
134,101.0,118.0,1.0428293701656184,0.3798562175365543,-0.2188056403427634,-0.0991729534052208,30.964430354213114
4,64.0,111.0,0.4804471102051302,0.5407397106760765,-0.0946389306007677,-0.1121622906534156,31.180243760898467
734,175.0,308.0,0.4007304775887341,0.5473839636844602,-0.0783147327949063,-0.13746368534939,32.68915141767521
1275,369.0,523.0,0.6028465370784097,0.2973625710367606,-0.0556801815683272,-0.0467493534154517,33.50653026511141
2128,715.0,948.0,0.7949114140184914,1.1472113494543803,-0.2072596685470298,,34.533933342006286
1141,272.0,478.0,0.3443565958799794,0.4731754205288183,-0.0824008272094793,-0.0650309915947531,35.34084297319361
1944,610.0,715.0,1.3569992791473489,0.7949114140184914,-0.3269390478661211,-0.2072596685470298,36.628292886777565
1431,433.0,440.0,0.4828167838344139,0.2780580691147349,-0.0511213924651077,-0.0068383139519543,37.019440538000566
726,175.0,180.0,0.4007304775887341,1.1549035717395917,-0.0783147327949063,-0.2920876525947573,38.15955163316902
2121,715.0,813.0,0.7949114140184914,0.8642150276187834,-0.2072596685470298,-0.175939274222328,38.84252077173801
88,97.0,385.0,1.247826790080195,1.3079163700459553,-0.3458129272339558,-0.3006173853868414,38.931622033658144
2129,715.0,950.0,0.7949114140184914,1.3716271127683657,-0.2072596685470298,,39.582988953093114
1954,610.0,950.0,1.3569992791473489,1.3716271127683657,-0.3269390478661211,,40.68460574022602
1117,262.0,721.0,0.1440649949977128,0.5370507141905243,0.0057264380254409,-0.2024180656034708,41.08526292371212
1507,440.0,983.0,0.2780580691147349,1.2725375188574208,-0.0068383139519543,,41.543524267751906
1717,526.0,545.0,0.4426510213935941,0.4573672389475725,-0.0707559855307007,-0.0479998457382802,41.927155353875406
1417,414.0,715.0,0.6007116569398203,0.7949114140184914,-0.1534856423674284,-0.2072596685470298,42.00622532147725
77,97.0,180.0,1.247826790080195,1.1549035717395917,-0.3458129272339558,-0.2920876525947573,42.20180140939799
1010,244.0,596.0,0.3699640090698128,0.6817910317689488,-0.0127327447922631,-0.2001264560099329,42.886966626952685
1426,414.0,948.0,0.6007116569398203,1.1472113494543803,-0.1534856423674284,,45.31634321043721
900,204.0,470.0,0.6114239007031497,0.3068015763618579,-0.2171631688072999,-0.0632804987834987,45.591127179384635
2032,648.0,909.0,0.7005990700568212,0.2060389342992028,-0.1446564667726271,,45.61605460288917
136,101.0,131.0,1.0428293701656184,0.2734970111348254,-0.2188056403427634,0.0089768993939713,48.23353417035226
481,123.0,653.0,1.242390057322698,0.2592395005352426,-0.2688044198243418,0.058392862828585,48.95956083060334
892,204.0,369.0,0.6114239007031497,0.6028465370784097,-0.2171631688072999,-0.0556801815683272,48.9684056269328
1223,346.0,392.0,0.3877914368600148,0.474474705316382,-0.0168756900538564,-0.0202723417008456,48.969590807643726
1491,440.0,657.0,0.2780580691147349,0.4361576926289423,-0.0068383139519543,-0.0525618238380261,49.644403738501445
368,111.0,721.0,0.5407397106760765,0.5370507141905243,-0.1121622906534156,-0.2024180656034708,50.268191953466605
1582,470.0,489.0,0.3068015763618579,0.6471197247059486,-0.0632804987834987,-0.1698529881224608,50.505047936791094
1883,551.0,958.0,0.2888732238449911,0.2887327800704931,-0.0030033910363513,,50.91861366041483
53,64.0,721.0,0.4804471102051302,0.5370507141905243,-0.0946389306007677,-0.2024180656034708,51.39203413374879
595,141.0,648.0,0.7350417839778682,0.7005990700568212,-0.114435582810545,-0.1446564667726271,51.898057525865816
951,217.0,478.0,0.539712012701127,0.4731754205288183,-0.1364498662411186,-0.0650309915947531,51.91033743842915
1427,414.0,950.0,0.6007116569398203,1.3716271127683657,-0.1534856423674284,,52.06090698337035
2015,621.0,944.0,0.4747998361159471,1.0557563320453802,-0.089738268432729,,52.181826548113776
2058,654.0,657.0,0.3312012825731614,0.4361576926289423,0.0077697488820973,-0.0525618238380261,52.85629833069824
2206,950.0,963.0,1.3716271127683657,0.6605751660104495,,,54.41473417750422
285,109.0,478.0,0.5228797155046276,0.4731754205288183,-0.0671651894674969,-0.0650309915947531,54.44175265088
1420,414.0,824.0,0.6007116569398203,1.5607499465338996,-0.1534856423674284,-0.3478656610576447,54.58228465136363
1009,244.0,558.0,0.3699640090698128,0.4841462695570797,-0.0127327447922631,-0.0283634295386274,54.89599576719722
1050,257.0,523.0,0.5563878226718764,0.2973625710367606,-0.1728355159895311,-0.0467493534154517,55.03691936474354
2122,715.0,824.0,0.7949114140184914,1.5607499465338996,-0.2072596685470298,-0.3478656610576447,56.47705704104022
1360,392.0,527.0,0.474474705316382,1.2210648311922867,-0.0202723417008456,-0.2845261957865812,57.4719221769522
76,97.0,175.0,1.247826790080195,0.4007304775887341,-0.3458129272339558,-0.0783147327949063,58.10616670288221
1928,596.0,913.0,0.6817910317689488,0.255091083272486,-0.2001264560099329,,58.621376551014286
1453,433.0,657.0,0.4828167838344139,0.4361576926289423,-0.0511213924651077,-0.0525618238380261,59.00687571392704
2031,648.0,907.0,0.7005990700568212,0.9802829428936306,-0.1446564667726271,,59.6548049082101
2076,657.0,669.0,0.4361576926289423,0.5338934680833116,-0.0525618238380261,-0.1918272594524772,60.020893706732636
707,159.0,653.0,0.6182618281146386,0.2592395005352426,-0.1246897644802125,0.058392862828585,60.48093585762674
787,180.0,308.0,1.1549035717395917,0.5473839636844602,-0.2920876525947573,-0.13746368534939,61.8218893400997
1419,414.0,813.0,0.6007116569398203,0.8642150276187834,-0.1534856423674284,-0.175939274222328,63.75748754583676
1429,414.0,963.0,0.6007116569398203,0.6605751660104495,-0.1534856423674284,,64.08743460399985
491,123.0,907.0,1.242390057322698,0.9802829428936306,-0.2688044198243418,,64.32335106284036
903,204.0,523.0,0.6114239007031497,0.2973625710367606,-0.2171631688072999,-0.0467493534154517,65.93323590971752
442,123.0,141.0,1.242390057322698,0.7350417839778682,-0.2688044198243418,-0.114435582810545,65.95696630054901
2137,721.0,909.0,0.5370507141905243,0.2060389342992028,-0.2024180656034708,,66.07450354941011
737,175.0,385.0,0.4007304775887341,1.3079163700459553,-0.0783147327949063,-0.3006173853868414,67.27771092007264
997,244.0,460.0,0.3699640090698128,0.4581448705970885,-0.0127327447922631,-0.0401793351666732,67.4328111561596
1953,610.0,948.0,1.3569992791473489,1.1472113494543803,-0.3269390478661211,,67.7802982855222
757,175.0,618.0,0.4007304775887341,0.3638977839865518,-0.0783147327949063,-0.0542154659393929,68.36606678536637
0,64.0,97.0,0.4804471102051302,1.247826790080195,-0.0946389306007677,-0.3458129272339558,70.3321612477107
2154,813.0,963.0,0.8642150276187834,0.6605751660104495,-0.175939274222328,,70.36831316695047
1469,433.0,983.0,0.4828167838344139,1.2725375188574208,-0.0511213924651077,,70.46540281201298
38,64.0,550.0,0.4804471102051302,0.3306816090929487,-0.0946389306007677,-0.0820574712389312,71.2516285418791
1334,385.0,658.0,1.3079163700459553,1.400580446831814,-0.3006173853868414,-0.3233799072499579,71.27714210977771
2201,948.0,950.0,1.1472113494543803,1.3716271127683657,,,71.78206069872016
1455,433.0,669.0,0.4828167838344139,0.5338934680833116,-0.0511213924651077,-0.1918272594524772,72.26610605170971
1301,369.0,913.0,0.6028465370784097,0.255091083272486,-0.0556801815683272,,72.38756639714131
2151,813.0,948.0,0.8642150276187834,1.1472113494543803,-0.175939274222328,,73.32956809088137
1452,433.0,654.0,0.4828167838344139,0.3312012825731614,-0.0511213924651077,0.0077697488820973,74.03349101803221
1198,308.0,618.0,0.5473839636844602,0.3638977839865518,-0.13746368534939,-0.0542154659393929,74.16066959565227
1407,414.0,610.0,0.6007116569398203,1.3569992791473489,-0.1534856423674284,-0.3269390478661211,74.7261295888804
1246,346.0,653.0,0.3877914368600148,0.2592395005352426,-0.0168756900538564,0.058392862828585,75.65776054663971
638,150.0,523.0,1.3920139742487887,0.2973625710367606,-0.3406909655776466,-0.0467493534154517,76.39877442439794
1974,618.0,944.0,0.3638977839865518,1.0557563320453802,-0.0542154659393929,,76.6636079488818
1549,468.0,526.0,0.2370517424707365,0.4426510213935941,-0.0877330836376693,-0.0707559855307007,77.51892758540014
1716,526.0,538.0,0.4426510213935941,0.0044495280079726,-0.0707559855307007,-0.0078382362108335,77.80864674488207
849,201.0,470.0,0.6143721323444158,0.3068015763618579,-0.0879489307879044,-0.0632804987834987,78.02999829128345
69,97.0,111.0,1.247826790080195,0.5407397106760765,-0.3458129272339558,-0.1121622906534156,78.57752888532588
1200,308.0,621.0,0.5473839636844602,0.4747998361159471,-0.13746368534939,-0.089738268432729,80.06275339780802
83,97.0,262.0,1.247826790080195,0.1440649949977128,-0.3458129272339558,0.0057264380254409,80.24538748901043
273,109.0,272.0,0.5228797155046276,0.3443565958799794,-0.0671651894674969,-0.0824008272094793,80.30149863128318
1886,558.0,596.0,0.4841462695570797,0.6817910317689488,-0.0283634295386274,-0.2001264560099329,80.73117789635816
876,201.0,907.0,0.6143721323444158,0.9802829428936306,-0.0879489307879044,,82.06067415268751
1283,369.0,596.0,0.6028465370784097,0.6817910317689488,-0.0556801815683272,-0.2001264560099329,82.96970773305009
1847,550.0,721.0,0.3306816090929487,0.5370507141905243,-0.0820574712389312,-0.2024180656034708,83.55923714993324
817,180.0,658.0,1.1549035717395917,1.400580446831814,-0.2920876525947573,-0.3233799072499579,84.00049579747373
