,objnum,sedfnname,sedtype,obj,ra_psf,dec_psf,g_psf,r_psf,i_psf,z_psf,y_psf,sg_psf,sr_psf,si_psf,sz_psf,sy_psf,g_r_psf,z_y_psf,sig_g_r_psf,sig_z_y_psf,sizecode_psf,ra_ap,dec_ap,g_ap,r_ap,i_ap,z_ap,y_ap,sg_ap,sr_ap,si_ap,sz_ap,sy_ap,g_r_ap,z_y_ap,sig_g_r_ap,sig_z_y_ap,sizecode_ap
0,64,pickles_uk_53.fits,G0IV,64.0,122.45894093286658,-36.20340961461874,15.777670803762788,15.297369652111747,15.071238281862689,14.976902827914936,14.992761572371176,0.0216926252419609,0.020236038454102,0.0148940673993711,0.0294712152457305,0.0461507917165388,0.4803011516510409,-0.0158587444562403,0.0296659272938511,0.0547580871116178,26.154858604253217,122.45894093286658,-36.20340961461874,15.769230240583642,15.281390045686852,15.056974385740704,14.963003471603738,14.96604626262278,0.0178318843446865,0.0145189782159052,0.0158103769367874,0.0161774727483788,0.0423273366785786,0.4878401948967905,-0.0030427910190429,0.0229951479168151,0.0453135085247908,53.69965283962621
1,97,pickles_uk_95.fits,M0III,97.0,122.4432397237376,-36.188544185439625,16.445282330786803,15.197286608680226,14.5575505482318,14.212337671275426,14.017652152923542,0.0258596121987617,0.0205123875618558,0.0191481881894776,0.0286284922371104,0.0335613584467954,1.2479957221065767,0.1946855183518838,0.0330072353667817,0.0441129839000331,64.38311643622869,122.4432397237376,-36.188544185439625,16.446902264968124,15.18941357924484,14.539192248561044,14.20164721899485,14.01225630830437,0.0260349780007179,0.0135483664305124,0.0124665945644962,0.0123770633746972,0.0317657461533284,1.2574886857232848,0.1893909106904807,0.0293492472208965,0.0340918513204984,129.83527810051498
2,101,pickles_uk_58.fits,K1IV,101.0,122.55880218857124,-36.18412322372538,14.70368643189339,13.661006613727166,13.141517816279606,12.92312382634134,12.840352488493076,0.0209743269897636,0.0185819472823346,0.0147200712949722,0.0200800514756662,0.0484111079602662,1.0426798181662242,0.0827713378482659,0.0280216194656374,0.0524103409758605,128.84380868293297,122.55880218857124,-36.18412322372538,14.686562927850428,13.639591763689562,13.118161870932196,12.903609902827382,12.81150121619346,0.013577032707217,0.0093543697823789,0.0161514277282277,0.0115924023322031,0.034385461589853,1.0469711641608654,0.0921086866339226,0.0164875726278408,0.0362869640584457,259.6390097172618
3,108,pickles_uk_13.fits,A7V,108.0,122.47659165280798,-36.16895438784173,13.855750091430306,13.13332173999266,12.888260337147434,12.78089732064985,12.791457254873126,0.0241526094488054,0.0253241685599213,0.022349088452409,0.0345946464226954,0.0357394969091276,0.7224283514376459,-0.0105599342232771,0.0349951719018186,0.0497403377594971,135.95513396750755,122.47659165280798,-36.16895438784173,13.84635190159019,13.121421720594777,12.864262623060922,12.767248020854078,12.786834556708415,0.0097847912543194,0.0117358885752509,0.0178508684735634,0.0107461521207159,0.0295348098129143,0.724930180995413,-0.0195865358543372,0.0152798305141552,0.0314290435121177,273.2751979145922
4,109,pickles_uk_67.fits,A5III,109.0,122.55654919126042,-36.13840355962648,15.638634622370738,15.116135308201702,14.870492938706647,14.8040294370695,14.853749115078145,0.0219909592548152,0.034463915852176,0.0167078186894562,0.0343134021218157,0.0547192124921166,0.5224993141690355,-0.0497196780086461,0.0408823162848292,0.0645879383548572,34.798528146525065,122.55654919126042,-36.13840355962648,15.635070118395689,15.113755052509164,14.86676083372793,14.807542033789932,14.857428666924616,0.0186634092817113,0.0154094883083567,0.0166584964076458,0.019196034555211,0.0507365218784365,0.5213150658865242,-0.0498866331346832,0.0242027927302212,0.0542464966146748,69.24579662100676
5,111,pickles_uk_55.fits,G5IV,111.0,122.46749877605886,-36.19818249895439,15.854061450139444,15.31305680873256,15.04693506034966,14.935964470831337,14.927752808157638,0.0215247392033497,0.0223036956490454,0.0181006771382798,0.031196502339043,0.0493895290499912,0.5410046414068823,0.0082116626736983,0.030996277798753,0.0584170124019523,28.20177645843316,122.46749877605886,-36.19818249895439,15.842720157089516,15.297186653501916,15.035247664720142,14.916653266648966,14.912804149528752,0.0178767153253057,0.0157175837974109,0.0151812934368693,0.0156655488388952,0.0367149940467299,0.545533503587599,0.0038491171202146,0.0238037684254123,0.0399174173547741,58.33467333510338
6,118,pickles_uk_125.fits,G2I,118.0,122.56597439898287,-36.1777670603112,15.705003578798898,15.325466167616751,15.10832277270408,15.00914981929886,14.988840115615142,0.0230409225326286,0.0246918302685363,0.0206996488625201,0.0342455548511698,0.0451850269305366,0.3795374111821452,0.0203097036837185,0.0337723347307349,0.0566960729308283,24.54250903505697,122.56597439898287,-36.1777670603112,15.696560155808616,15.32105423860182,15.106079636094606,15.00425521502025,14.971651509377484,0.0199009252670884,0.0176141350311158,0.0148960505375128,0.019999343027086,0.0381198073156594,0.3755059172067945,0.0326037056427654,0.0265763913912446,0.043047571723595,49.57447849797507
7,123,pickles_uk_37.fits,K7V,123.0,122.53213626779984,-36.20982110011813,15.41089354444806,14.169070026111877,13.574203012345365,13.305426129759752,13.174151816007768,0.0223476676183448,0.0209137155466931,0.0212998833654999,0.0254585961752491,0.0416591258215745,1.2418235183361848,0.1312743137519838,0.0306072172199305,0.0488223604860743,109.7286935120124,122.53213626779984,-36.20982110011813,15.424983087058727,14.170302017732464,13.575189600256724,13.304485432067112,13.168928553457128,0.0160399063813861,0.0116077556482747,0.0183552680918559,0.0115283456945431,0.0328639313462036,1.2546810693262636,0.1355568786099841,0.0197994592833664,0.0348272987465418,219.5514567932888
8,131,pickles_uk_11.fits,A3V,131.0,122.57356119919478,-36.1780034305056,14.336623860803096,14.06316547789359,13.948258517131627,13.957574417343714,14.06382803148367,0.0235453712081253,0.0279121877290844,0.0212092739108813,0.0366907327055631,0.0677888595871879,0.2734583829095065,-0.1062536141399554,0.0365167732576698,0.0770813813485628,77.12127913281428,122.57356119919478,-36.1780034305056,14.325005269044382,14.055877858415917,13.94087855871095,13.95014770479712,14.052386536456664,0.0152988168962728,0.0142261981683519,0.013351429653623,0.0163609287863072,0.0414181052376281,0.2691274106284673,-0.1022388316595446,0.0208911108548804,0.0445324536964432,154.98522952028804
9,141,pickles_uk_13.fits,A7V,141.0,122.5134670184706,-36.19938833656411,15.406302311314262,14.671019539647885,14.384671853248715,14.27063829674158,14.285009363972808,0.021577465679446,0.0222003348341191,0.0190037292101561,0.021975982878352,0.0486772294559394,0.7352827716663768,-0.0143710672312273,0.0309587126976345,0.0534080189763279,61.46808516292097,122.5134670184706,-36.19938833656411,15.400030800283515,14.66127975110406,14.365704081272924,14.252308451163806,14.269570050959413,0.0172612628337323,0.0146094176709496,0.0115671023598579,0.0154976235718654,0.0407321082852143,0.7387510491794558,-0.0172615997956064,0.0226138514919383,0.043580740949801,124.7691548836194
