,obj,ra_psf,dec_psf,g_psf,r_psf,i_psf,z_psf,y_psf,sg_psf,sr_psf,si_psf,sz_psf,sy_psf,g_r_psf,z_y_psf,sig_g_r_psf,sig_z_y_psf,sizecode_psf,ra_ap,dec_ap,g_ap,r_ap,i_ap,z_ap,y_ap,sg_ap,sr_ap,si_ap,sz_ap,sy_ap,g_r_ap,z_y_ap,sig_g_r_ap,sig_z_y_ap,sizecode_ap
0,64.0,122.45894093286658,-36.20340961461874,15.777670803762788,15.297369652111747,15.071238281862687,14.976902827914936,14.992761572371176,0.02169262524196099,0.020236038454102066,0.014894067399371139,0.029471215245730556,0.04615079171653881,0.4803011516510409,-0.01585874445624036,0.029665927293851115,0.054758087111617844,26.154858604253217,122.45894093286658,-36.20340961461874,15.769230240583642,15.281390045686852,15.056974385740705,14.963003471603738,14.96604626262278,0.017831884344686515,0.014518978215905278,0.015810376936787423,0.016177472748378822,0.04232733667857869,0.48784019489679054,-0.003042791019042923,0.022995147916815145,0.045313508524790845,53.69965283962621
1,97.0,122.4432397237376,-36.188544185439625,16.445282330786803,15.197286608680226,14.5575505482318,14.212337671275426,14.017652152923542,0.02585961219876179,0.020512387561855867,0.01914818818947764,0.028628492237110486,0.03356135844679543,1.2479957221065767,0.19468551835188386,0.03300723536678176,0.04411298390003313,64.38311643622869,122.4432397237376,-36.188544185439625,16.446902264968124,15.189413579244839,14.539192248561045,14.20164721899485,14.01225630830437,0.026034978000717975,0.013548366430512444,0.012466594564496265,0.012377063374697277,0.03176574615332842,1.2574886857232848,0.18939091069048075,0.029349247220896577,0.034091851320498454,129.83527810051498
2,101.0,122.55880218857124,-36.18412322372538,14.70368643189339,13.661006613727166,13.141517816279606,12.92312382634134,12.840352488493075,0.020974326989763637,0.018581947282334643,0.014720071294972232,0.020080051475666227,0.048411107960266285,1.0426798181662242,0.08277133784826596,0.02802161946563744,0.05241034097586051,128.84380868293297,122.55880218857124,-36.18412322372538,14.686562927850428,13.639591763689562,13.118161870932196,12.903609902827382,12.81150121619346,0.013577032707217041,0.009354369782378951,0.01615142772822773,0.011592402332203142,0.034385461589853096,1.0469711641608654,0.09210868663392269,0.016487572627840816,0.03628696405844572,259.6390097172618
3,108.0,122.47659165280798,-36.16895438784173,13.855750091430306,13.13332173999266,12.888260337147434,12.78089732064985,12.791457254873126,0.024152609448805495,0.02532416855992133,0.022349088452409096,0.03459464642269545,0.03573949690912767,0.7224283514376459,-0.010559934223277168,0.03499517190181863,0.04974033775949718,135.95513396750755,122.47659165280798,-36.16895438784173,13.84635190159019,13.121421720594777,12.864262623060922,12.767248020854078,12.786834556708415,0.009784791254319409,0.011735888575250914,0.017850868473563417,0.010746152120715906,0.029534809812914384,0.724930180995413,-0.019586535854337228,0.01527983051415527,0.03142904351211775,273.2751979145922
4,109.0,122.55654919126042,-36.13840355962648,15.638634622370738,15.116135308201702,14.870492938706647,14.804029437069499,14.853749115078145,0.02199095925481524,0.034463915852176015,0.01670781868945629,0.034313402121815745,0.0547192124921166,0.5224993141690355,-0.049719678008646184,0.04088231628482923,0.06458793835485724,34.798528146525065,122.55654919126042,-36.13840355962648,15.635070118395689,15.113755052509164,14.86676083372793,14.807542033789932,14.857428666924616,0.018663409281711337,0.015409488308356714,0.016658496407645898,0.019196034555211072,0.05073652187843656,0.5213150658865242,-0.04988663313468322,0.024202792730221263,0.054246496614674844,69.24579662100676
5,111.0,122.46749877605886,-36.19818249895439,15.854061450139444,15.313056808732561,15.04693506034966,14.935964470831337,14.927752808157638,0.021524739203349744,0.022303695649045486,0.018100677138279817,0.031196502339043017,0.04938952904999129,0.5410046414068823,0.008211662673698328,0.03099627779875306,0.05841701240195231,28.20177645843316,122.46749877605886,-36.19818249895439,15.842720157089516,15.297186653501917,15.035247664720142,14.916653266648966,14.912804149528752,0.01787671532530578,0.015717583797410926,0.015181293436869308,0.015665548838895208,0.036714994046729926,0.545533503587599,0.003849117120214629,0.02380376842541233,0.03991741735477416,58.33467333510338
6,118.0,122.56597439898289,-36.1777670603112,15.705003578798898,15.325466167616753,15.108322772704081,15.00914981929886,14.988840115615142,0.02304092253262863,0.024691830268536365,0.020699648862520143,0.034245554851169875,0.045185026930536686,0.37953741118214523,0.02030970368371854,0.0337723347307349,0.05669607293082838,24.54250903505697,122.56597439898289,-36.1777670603112,15.696560155808616,15.321054238601821,15.106079636094606,15.00425521502025,14.971651509377484,0.019900925267088473,0.017614135031115863,0.014896050537512853,0.01999934302708609,0.038119807315659476,0.3755059172067945,0.03260370564276549,0.026576391391244663,0.04304757172359508,49.57447849797507
7,123.0,122.53213626779983,-36.209821100118134,15.41089354444806,14.169070026111875,13.574203012345365,13.305426129759752,13.174151816007768,0.022347667618344863,0.020913715546693128,0.021299883365499924,0.02545859617524912,0.04165912582157457,1.2418235183361848,0.13127431375198384,0.030607217219930555,0.048822360486074315,109.7286935120124,122.53213626779983,-36.209821100118134,15.424983087058727,14.170302017732464,13.575189600256724,13.304485432067112,13.168928553457128,0.016039906381386162,0.01160775564827472,0.01835526809185592,0.011528345694543123,0.03286393134620364,1.2546810693262636,0.1355568786099841,0.019799459283366457,0.034827298746541877,219.55145679328876
8,131.0,122.57356119919478,-36.1780034305056,14.336623860803096,14.06316547789359,13.948258517131627,13.957574417343714,14.06382803148367,0.023545371208125308,0.02791218772908449,0.021209273910881385,0.036690732705563125,0.06778885958718797,0.2734583829095065,-0.10625361413995549,0.03651677325766984,0.07708138134856281,77.12127913281428,122.57356119919478,-36.1780034305056,14.325005269044382,14.055877858415915,13.94087855871095,13.95014770479712,14.052386536456664,0.015298816896272835,0.014226198168351979,0.01335142965362307,0.016360928786307224,0.041418105237628185,0.26912741062846735,-0.10223883165954462,0.020891110854880466,0.04453245369644322,154.98522952028804
9,141.0,122.51346701847059,-36.19938833656411,15.406302311314262,14.671019539647885,14.384671853248715,14.27063829674158,14.285009363972808,0.021577465679446052,0.022200334834119137,0.0190037292101561,0.021975982878352097,0.048677229455939434,0.7352827716663768,-0.014371067231227386,0.0309587126976345,0.05340801897632791,61.46808516292097,122.51346701847059,-36.19938833656411,15.400030800283515,14.66127975110406,14.365704081272924,14.252308451163806,14.269570050959413,0.017261262833732312,0.014609417670949629,0.011567102359857917,0.01549762357186542,0.04073210828521439,0.7387510491794558,-0.017261599795606486,0.022613851491938383,0.043580740949801085,124.7691548836194
