,mjd,res
0,59215.020833333336,-0.011300380764697457
1,59215.0625,-0.010499608302594166
2,59215.104166666664,-0.008343183021419898
3,59215.145833333336,-0.006089473569384149
4,59215.1875,-0.003953634494164374
5,59215.229166666664,-0.002260907514442856
6,59215.270833333336,-0.0009973460273141055
7,59215.3125,-8.990027871597084e-05
8,59215.354166666664,0.0006809821832439306
9,59215.395833333336,0.002709588178066741
10,59215.4375,0.003469150092349188
11,59215.479166666664,0.002240189951403529
12,59215.520833333336,0.0015845981421132999
13,59215.5625,0.002343614237324765
14,59215.604166666664,0.0029999465888284477
15,59215.645833333336,0.010523187709208792
16,59215.6875,0.008163170904952319
17,59215.729166666664,0.007903858688643461
18,59215.770833333336,-0.012460645246347699
19,59215.8125,-0.017021245407428436
20,59215.854166666664,-0.01900876506095852
21,59215.895833333336,-0.02077892859885524
22,59215.9375,-0.02290881233278228
23,59215.979166666664,-0.024513106609496405
24,59216.020833333336,-0.024833433328322142
25,59216.0625,-0.024509178866362252
26,59216.104166666664,-0.02382514040929274
27,59216.145833333336,-0.0237388650126285
28,59216.1875,-0.02472004636973959
29,59216.229166666664,-0.026797780751876124
30,59216.270833333336,-0.028838397435608863
31,59216.3125,-0.030618108923311245
32,59216.354166666664,-0.0322136793205491
33,59216.395833333336,-0.033280620858589224
34,59216.4375,-0.03416898488404491
35,59216.479166666664,-0.035529346356645966
36,59216.520833333336,-0.036407647387135415
37,59216.5625,-0.03592240183471102
38,59216.604166666664,-0.03445680785513293
39,59216.645833333336,-0.023984699810115778
40,59216.6875,-0.021817196906044285
41,59216.729166666664,-0.01921900192632279
42,59216.770833333336,-0.020971065590063828
43,59216.8125,-0.020676613303855798
44,59216.854166666664,-0.02163445244494485
45,59216.895833333336,-0.023399042319674143
46,59216.9375,-0.025960929671751468
47,59216.979166666664,-0.029595166280120995
48,59217.020833333336,-0.03382135920001085
49,59217.0625,-0.03802242334613367
50,59217.104166666664,-0.04127442566297458
51,59217.145833333336,-0.04340637119598092
52,59217.1875,-0.044898691708995575
53,59217.229166666664,-0.046344204377626985
54,59217.270833333336,-0.04804420347844586
55,59217.3125,-0.04964478902655352
56,59217.354166666664,-0.05062760880075076
57,59217.395833333336,-0.050685974574948
58,59217.4375,-0.05010959676119761
59,59217.479166666664,-0.049385941007852506
60,59217.520833333336,-0.04845667453582507
61,59217.5625,-0.04678159909400027
62,59217.604166666664,-0.044042829225021785
63,59217.645833333336,-0.041429860933923375
64,59217.6875,-0.03701642266296007
65,59217.729166666664,-0.03138876770855084
66,59217.770833333336,-0.02721737580433594
67,59217.8125,-0.022641084473110744
68,59217.854166666664,-0.019986725850356934
69,59217.895833333336,-0.01796543479038188
70,59217.9375,-0.015853584067096006
71,59217.979166666664,-0.014520267961960383
72,59218.020833333336,-0.014218187193513962
73,59218.0625,-0.01554910611354722
74,59218.104166666664,-0.01634906956112283
75,59218.145833333336,-0.016503941491080212
76,59218.1875,-0.016962326712566242
77,59218.229166666664,-0.0184269601149813
78,59218.270833333336,-0.020987753934482496
79,59218.3125,-0.023826863638350307
80,59218.354166666664,-0.026334732256787396
81,59218.395833333336,-0.028505829920528435
82,59218.4375,-0.030207883448500998
83,59218.479166666664,-0.03152322743886366
84,59218.520833333336,-0.032012312730679116
85,59218.5625,-0.029865607469783347
86,59218.604166666664,-0.02574649628928455
87,59218.645833333336,-0.006122480882696166
88,59218.6875,-0.0014010893754323184
89,59218.729166666664,0.002624808739770834
90,59218.770833333336,-0.009608089552044605
91,59218.8125,-0.015537157999763615
92,59218.854166666664,-0.01971777171858935
93,59218.895833333336,-0.023132165910016135
94,59218.9375,-0.02659961268924716
95,59218.979166666664,-0.029708468820268674
96,59219.020833333336,-0.03347310319751485
97,59219.0625,-0.03799007768032686
98,59219.104166666664,-0.04084826370592595
99,59219.145833333336,-0.04221511436952359
100,59219.1875,-0.04171754270664299
101,59219.229166666664,-0.03997993040547704
102,59219.270833333336,-0.03848055123001201
103,59219.3125,-0.03686044933083088
104,59219.354166666664,-0.03455161215536584
