,mjd,res
0,59215.0,1.190150675
1,59215.041666666664,1.222766674999999
2,59215.083333333336,1.7334235499999995
3,59215.125,1.9979759250000004
4,59215.166666666664,2.2215302999999995
5,59215.208333333336,2.172632674999999
6,59215.25,2.138456925
7,59215.291666666664,1.991869424999999
8,59215.333333333336,1.7749252999999996
9,59215.375,1.6310912999999996
10,59215.416666666664,1.5777311750000003
11,59215.458333333336,1.7219805499999996
12,59215.5,1.553682049999999
13,59215.541666666664,1.7073906749999992
14,59215.583333333336,1.643294675
15,59215.625,1.490162925
16,59215.666666666664,1.5520699249999996
17,59215.708333333336,1.4464223
18,59215.75,1.295082924999999
19,59215.791666666664,1.1377591749999993
20,59215.833333333336,0.8602177999999991
21,59215.875,0.7784522999999997
22,59215.916666666664,0.5735929249999998
23,59215.958333333336,0.3228099249999996
24,59216.0,0.007688175000000186
25,59216.041666666664,-0.3481962000000003
26,59216.083333333336,-0.3736630750000005
27,59216.125,-0.4516914750000005
28,59216.166666666664,-0.4709423250000002
29,59216.208333333336,-0.7205102999999999
30,59216.25,-0.9932974000000003
31,59216.291666666664,-1.356383825
32,59216.333333333336,-1.6647989499999998
33,59216.375,-2.0158741750000004
34,59216.416666666664,-2.290020825
35,59216.458333333336,-2.6589234250000002
36,59216.5,-2.7799623250000005
37,59216.541666666664,-2.8932013249999997
38,59216.583333333336,-2.81014695
39,59216.625,-2.41704745
40,59216.666666666664,-1.9376538000000005
41,59216.708333333336,-1.7683976250000004
42,59216.75,-1.3809332000000003
43,59216.791666666664,-1.3786149500000002
44,59216.833333333336,-1.4464706999999999
45,59216.875,-1.7334345000000004
46,59216.916666666664,-2.0860945749999997
47,59216.958333333336,-2.645798975
48,59217.0,-3.1161094499999997
49,59217.041666666664,-3.8533557
50,59217.083333333336,-4.3969524
51,59217.125,-4.809105450000001
52,59217.166666666664,-5.073525200000001
53,59217.208333333336,-5.33031615
54,59217.25,-5.462167825
55,59217.291666666664,-5.613038125
56,59217.333333333336,-5.8591412
57,59217.375,-5.950927500000001
58,59217.416666666664,-5.8428586
59,59217.458333333336,-5.50591615
60,59217.5,-5.10102685
61,59217.541666666664,-4.82773715
62,59217.583333333336,-4.179281
63,59217.625,-3.8989408250000004
64,59217.666666666664,-3.302964975
65,59217.708333333336,-2.8421523750000004
66,59217.75,-1.8329034499999999
67,59217.791666666664,-0.9899185250000002
68,59217.833333333336,-0.32047957500000024
69,59217.875,0.20953429999999962
70,59217.916666666664,0.4913091749999996
71,59217.958333333336,0.6961987999999995
72,59218.0,0.6316328000000002
73,59218.041666666664,0.5583589250000003
74,59218.083333333336,0.2545294249999994
75,59218.125,0.15322917499999988
76,59218.166666666664,0.02204267499999979
77,59218.208333333336,-0.11950069999999968
78,59218.25,-0.5476973000000003
79,59218.291666666664,-0.7825248250000003
80,59218.333333333336,-1.2488959500000005
81,59218.375,-1.5515880749999997
82,59218.416666666664,-1.6665341749999998
83,59218.458333333336,-1.826361575
84,59218.5,-1.9322655749999997
85,59218.541666666664,-1.9557574000000004
86,59218.583333333336,-1.495981575
87,59218.625,-1.0417440000000004
88,59218.666666666664,-0.4928971999999998
89,59218.708333333336,-0.06668920000000078
90,59218.75,-0.0014574500000001933
91,59218.791666666664,-0.057814450000000406
92,59218.833333333336,-0.08091607499999931
93,59218.875,-0.35344907500000033
94,59218.916666666664,-0.62180445
95,59218.958333333336,-1.258187125
96,59219.0,-1.77597075
97,59219.041666666664,-2.428002575
98,59219.083333333336,-2.99679245
99,59219.125,-3.444163575
100,59219.166666666664,-3.449436025
101,59219.208333333336,-3.2947872
102,59219.25,-3.0395491750000003
103,59219.291666666664,-2.7243665750000003
104,59219.333333333336,-2.144324075
105,59219.375,-1.5364588250000004
106,59219.416666666664,-1.0148861499999997
