,mjd,res
0,59215.020833333336,-0.007967921970738423
1,59215.0625,-0.00717157920099068
2,59215.104166666664,-0.0049787970971544165
3,59215.145833333336,-0.002745541765331483
4,59215.1875,-0.000583564848853621
5,59215.229166666664,0.0010449964197613293
6,59215.270833333336,0.002306551751584271
7,59215.3125,0.003169112270765606
8,59215.354166666664,0.003980737665796541
9,59215.395833333336,0.005937194663530945
10,59215.4375,0.006761404663530951
11,59215.479166666664,0.005491389015668022
12,59215.520833333336,0.004782133742521899
13,59215.5625,0.005560594866672305
14,59215.604166666664,0.0062361742617032395
15,59215.645833333336,0.013755985760570438
16,59215.6875,0.011333755674782717
17,59215.729166666664,0.011017090401636592
18,59215.770833333336,-0.00934291772477941
19,59215.8125,-0.013859583891823672
20,59215.854166666664,-0.015814890142390063
21,59215.895833333336,-0.017686647291385783
22,59215.9375,-0.019761149562266316
23,59215.979166666664,-0.021441653982142567
24,59216.020833333336,-0.021743290045350576
25,59216.0625,-0.021440124234974572
26,59216.104166666664,-0.020661426546483376
27,59216.145833333336,-0.020698093383970294
28,59216.1875,-0.021681526593908422
29,59216.229166666664,-0.02373743711535535
30,59216.270833333336,-0.02579170540881561
31,59216.3125,-0.027576423264351065
32,59216.354166666664,-0.029245975246302534
33,59216.395833333336,-0.030223591891899868
34,59216.4375,-0.031197480395298245
35,59216.479166666664,-0.03253108264586464
36,59216.520833333336,-0.03351948239982943
37,59216.5625,-0.03286814129372757
38,59216.604166666664,-0.0314193321289489
39,59216.645833333336,-0.02101553321473662
40,59216.6875,-0.018798399444988893
41,59216.729166666664,-0.01626657844725448
42,59216.770833333336,-0.017992612844551004
43,59216.8125,-0.01773660167977234
44,59216.854166666664,-0.018626283846816603
45,59216.895833333336,-0.020428345203484854
46,59216.9375,-0.02298557632990085
47,59216.979166666664,-0.02666133241568857
48,59217.020833333336,-0.0309307616888347
49,59217.0625,-0.035061743855878964
50,59217.104166666664,-0.038364522129025094
51,59217.145833333336,-0.04044881665047203
52,59217.1875,-0.041895762422485355
53,59217.229166666664,-0.04336732652858723
54,59217.270833333336,-0.04504769275883948
55,59217.3125,-0.04669864101167147
56,59217.354166666664,-0.04766588605456533
57,59217.395833333336,-0.04770205228481758
58,59217.4375,-0.04709419816066719
59,59217.479166666664,-0.0464572953728709
60,59217.520833333336,-0.04549776079048157
61,59217.5625,-0.043774242395450635
62,59217.604166666664,-0.04104845504331356
63,59217.645833333336,-0.03853005244287568
64,59217.6875,-0.03400915200495089
65,59217.729166666664,-0.02839307338193328
66,59217.770833333336,-0.024144350298411145
67,59217.8125,-0.019595311467720998
68,59217.854166666664,-0.016939921219420187
69,59217.895833333336,-0.014881293553508722
70,59217.9375,-0.01285448605690711
71,59217.979166666664,-0.01149573464156204
72,59218.020833333336,-0.011237599894394032
73,59218.0625,-0.0124694186235135
74,59218.104166666664,-0.013275531646093235
75,59218.145833333336,-0.01345433202307561
76,59218.1875,-0.013896473420372146
77,59218.229166666664,-0.015368116339115605
78,59218.270833333336,-0.017889385569367873
79,59218.3125,-0.020672615278173198
80,59218.354166666664,-0.02317398794635027
81,59218.395833333336,-0.02534997213597425
82,59218.4375,-0.027048256804151315
83,59218.479166666664,-0.028413011140505436
84,59218.520833333336,-0.02884666012019131
85,59218.5625,-0.026692431413651567
86,59218.604166666664,-0.022571336248872892
87,59218.645833333336,-0.002867736686797684
88,59218.6875,0.0018306990197420603
89,59218.729166666664,0.005895848602131382
90,59218.770833333336,-0.006354486316612076
91,59218.8125,-0.012229073817744865
92,59218.854166666664,-0.01639982996447499
93,59218.895833333336,-0.01976877427824939
94,59218.9375,-0.02328496944755925
95,59218.979166666664,-0.026265478759068053
96,59219.020833333336,-0.03010416272070538
97,59219.0625,-0.034611603472404565
98,59219.104166666664,-0.037406352619134706
99,59219.145833333336,-0.0387503894949843
100,59219.1875,-0.038226430163161365
101,59219.229166666664,-0.036556317770396016
102,59219.270833333336,-0.03500003110448455
103,59219.3125,-0.033406670023228
104,59219.354166666664,-0.030965844147378407
105,59219.395833333336,-0.028591514546940533
106,59219.4375,-0.026575771921657325
107,59219.479166666664,-0.025472816881029064
108,59219.520833333336,-0.02511910454920612
109,59219.5625,-0.023616805467949586
110,59219.604166666664,-0.02053992915644077
111,59219.645833333336,-0.026924758262542633
112,59219.6875,-0.0260152309284541
113,59219.729166666664,-0.024676754429586903
114,59219.770833333336,-0.02370672651764022
115,59219.8125,-0.02332666843411809
116,59219.854166666664,-0.024427624704998617
117,59219.895833333336,-0.02700757874789248
118,59219.9375,-0.02988791151990581
119,59219.979166666664,-0.032723368145189
120,59220.020833333336,-0.03557160056506526
121,59220.0625,-0.03789337123097674
122,59220.104166666664,-0.03970307714972019
123,59220.145833333336,-0.04088230410909192
124,59220.1875,-0.04129298835965832
125,59220.229166666664,-0.04094237961022472
126,59220.270833333336,-0.04047095956959645
127,59220.3125,-0.04033723990595057
128,59220.354166666664,-0.04028460300978684
129,59220.395833333336,-0.04074565632356123
130,59220.4375,-0.04155913959444176
131,59220.479166666664,-0.042276393199410824
132,59220.520833333336,-0.042114522323561235
133,59220.5625,-0.040862217535764946
134,59220.604166666664,-0.03751555655607909
135,59220.645833333336,-0.028209325183627884
136,59220.6875,-0.022679482621552685
137,59220.729166666664,-0.019401549768282803
138,59220.770833333336,-0.022092326560610276
139,59220.8125,-0.022678025413880143
140,59220.854166666664,-0.023455147646398
141,59220.895833333336,-0.024408409896964398
142,59220.9375,-0.026315431418411327
143,59220.979166666664,-0.02928984568929186
144,59221.020833333336,-0.03258333366897773
145,59221.0625,-0.03659424502564598
146,59221.104166666664,-0.03920337623105292
147,59221.145833333336,-0.04120471540036279
148,59221.1875,-0.04280673542294252
149,59221.229166666664,-0.04360867665092917
150,59221.270833333336,-0.044021124131747844
151,59221.3125,-0.04448758071640277
152,59221.354166666664,-0.045059971091119574
153,59221.395833333336,-0.04555834071640276
154,59221.4375,-0.04565856613401343
155,59221.479166666664,-0.04541203477961077
156,59221.520833333336,-0.04496938938457983
157,59221.5625,-0.04374782536653129
158,59221.604166666664,-0.0408032344906817
159,59221.645833333336,-0.038418693032442754
160,59221.6875,-0.034050763700619824
161,59221.729166666664,-0.030167417470367552
162,59221.770833333336,-0.029153902804456087
163,59221.8125,-0.02866213986766409
164,59221.854166666664,-0.028946079763827813
165,59221.895833333336,-0.029843403784141957
166,59221.9375,-0.03108700161936328
167,59221.979166666664,-0.03296560770288541
168,59222.020833333336,-0.03540168468257128
169,59222.0625,-0.03798567797603154
170,59222.104166666664,-0.039895423264960615
171,59222.145833333336,-0.04171818224464647
172,59222.1875,-0.04343408905728807
173,59222.229166666664,-0.045120988059553675
174,59222.270833333336,-0.04642732714081021
175,59222.3125,-0.0478282640798678
176,59222.354166666664,-0.04888023199634567
177,59222.395833333336,-0.049404372727730725
178,59222.4375,-0.04901184012276166
179,59222.479166666664,-0.04815310080898727
180,59222.520833333336,-0.047123911477164326
181,59222.5625,-0.04433898541395634
182,59222.604166666664,-0.03942407839364221
183,59222.645833333336,-0.02066275666452274
184,59222.6875,-0.01497221843427047
185,59222.729166666664,-0.01408888478867313
186,59222.770833333336,-0.02404225283156699
187,59222.8125,-0.028013641102447535
188,59222.854166666664,-0.029845431102447535
189,59222.895833333336,-0.031815636808987274
190,59222.9375,-0.03467201470515101
191,59222.979166666664,-0.03802707028980593
192,59223.020833333336,-0.04131327110018193
193,59223.0625,-0.04466247881125286
194,59223.104166666664,-0.04734509424691207
195,59223.145833333336,-0.048819507102447535
196,59223.1875,-0.049552165226597944
197,59223.229166666664,-0.050537175748044866
198,59223.270833333336,-0.05170223458100061
199,59223.3125,-0.05307811901665981
200,59223.354166666664,-0.05434993297603154
201,59223.395833333336,-0.054868761100181934
202,59223.4375,-0.05475817647489874
203,59223.479166666664,-0.054226944287540345
204,59223.520833333336,-0.053320474538106746
205,59223.5625,-0.051527266558420874
206,59223.604166666664,-0.04854572472319954
207,59223.645833333336,-0.039261042890243805
208,59223.6875,-0.03438909970288541
209,59223.729166666664,-0.03022382913854462
210,59223.770833333336,-0.029306619057288076
211,59223.8125,-0.028677983305588885
212,59223.854166666664,-0.029272252014394214
213,59223.895833333336,-0.030932176556155287
214,59223.9375,-0.03448229013854462
215,59223.979166666664,-0.039014810055022484
216,59224.020833333336,-0.043077880991814484
217,59224.0625,-0.04715723357420383
218,59224.104166666664,-0.050795630407159564
219,59224.145833333336,-0.053266954824770216
220,59224.1875,-0.05438234444778782
221,59224.229166666664,-0.05514963659451796
222,59224.270833333336,-0.05585065353130997
223,59224.3125,-0.05652390917690729
224,59224.354166666664,-0.05687917844552223
225,59224.395833333336,-0.05687805146583638
226,59224.4375,-0.05671292182250463
227,59224.479166666664,-0.056170120213004396
228,59224.520833333336,-0.05561419406853984
229,59224.5625,-0.054106411362000104
230,59224.604166666664,-0.05142669206853984
231,59224.645833333336,-0.04556149342067692
232,59224.6875,-0.042639903901495586
233,59224.729166666664,-0.03970222348161932
234,59224.770833333336,-0.03582372808658838
235,59224.8125,-0.036454679648663585
236,59224.854166666664,-0.03827144416784493
237,59224.895833333336,-0.041160156398097184
238,59224.9375,-0.04385798425136706
239,59224.979166666664,-0.04628423591727853
240,59225.020833333336,-0.0483651869579068
241,59225.0625,-0.05008790168702627
242,59225.104166666664,-0.05089003293532707
243,59225.145833333336,-0.05099738199626948
244,59225.1875,-0.051106766705074816
245,59225.229166666664,-0.05150891026715
246,59225.270833333336,-0.052013557474822544
247,59225.3125,-0.05226708284953935
248,59225.354166666664,-0.052704247933061485
249,59225.395833333336,-0.05350893263960123
250,59225.4375,-0.05426872526488442
251,59225.479166666664,-0.05401859249287109
252,59225.520833333336,-0.05311292674343748
253,59225.5625,-0.05164282257412763
254,59225.604166666664,-0.04975150076148603
255,59225.645833333336,-0.043042207905950564
256,59225.6875,-0.04006222194657884
257,59225.729166666664,-0.03726942367569831
258,59225.770833333336,-0.03621711213393725
259,59225.8125,-0.03645560042286632
260,59225.854166666664,-0.03770138569374685
261,59225.895833333336,-0.03873410036192391
262,59225.9375,-0.03981540169374685
263,59225.979166666664,-0.04158768294204765
264,59226.020833333336,-0.04368504702556979
265,59226.0625,-0.04529631010909192
266,59226.104166666664,-0.04581733987657406
267,59226.145833333336,-0.04591361943864928
268,59226.1875,-0.046494203562799666
269,59226.229166666664,-0.04779897968921566
270,59226.270833333336,-0.04885210483141461
271,59226.3125,-0.04967948347927754
272,59226.354166666664,-0.049991112768206614
273,59226.395833333336,-0.05023462451764023
274,59226.4375,-0.050314567393489815
275,59226.479166666664,-0.05010877516323756
276,59226.520833333336,-0.04964330189009143
277,59226.5625,-0.048437121659839155
278,59226.604166666664,-0.0459393323686445
279,59226.645833333336,-0.04562157482688342
280,59226.6875,-0.04177050634606477
281,59226.729166666664,-0.03887572909776397
282,59226.770833333336,-0.03902313011354691
283,59226.8125,-0.03894372376140984
284,59226.854166666664,-0.039430278741095705
285,59226.895833333336,-0.04021301313386105
286,59226.9375,-0.04146232367562211
287,59226.979166666664,-0.04350068259209998
288,59227.020833333336,-0.04538450219480346
289,59227.0625,-0.04714687311128132
290,59227.104166666664,-0.04849504704807332
291,59227.145833333336,-0.0490010477749272
292,59227.1875,-0.04896737142052453
293,59227.229166666664,-0.048618922858449334
294,59227.270833333336,-0.04795548019253787
295,59227.3125,-0.04722006700291387
296,59227.354166666664,-0.04719267008417042
297,59227.395833333336,-0.04777734243857308
298,59227.4375,-0.04843538491712615
299,59227.479166666664,-0.0488676615853032
300,59227.520833333336,-0.04886960468687388
301,59227.5625,-0.0485872764972499
302,59227.604166666664,-0.047492790226369354
303,59227.645833333336,-0.04213055343630748
304,59227.6875,-0.041320759059325085
305,59227.729166666664,-0.04025264555819229
306,59227.770833333336,-0.04185291118347549
307,59227.8125,-0.04115645714058164
308,59227.854166666664,-0.04090010609995336
309,59227.895833333336,-0.040877975054793916
310,59227.9375,-0.041578896327940026
311,59227.979166666664,-0.042984028097687775
312,59228.020833333336,-0.045097014118001905
313,59228.0625,-0.04727736188774964
314,59228.104166666664,-0.04884660751303284
315,59228.145833333336,-0.049333808115736316
316,59228.1875,-0.049209234449824835
317,59228.229166666664,-0.04885636638661685
318,59228.270833333336,-0.04896168374101951
319,59228.3125,-0.04942067711573632
320,59228.354166666664,-0.050131992300829126
321,59228.395833333336,-0.050856494926112314
322,59228.4375,-0.05116230296674059
323,59228.479166666664,-0.05136470744529366
324,59228.520833333336,-0.05117353115636459
325,59228.5625,-0.04951186990353259
326,59228.604166666664,-0.04765235779969633
327,59228.645833333336,-0.04892974525793527
328,59228.6875,-0.046338729549129924
329,59228.729166666664,-0.0432112396507006
330,59228.770833333336,-0.03917234442271393
331,59228.8125,-0.03958280652655021
332,59228.854166666664,-0.04087777563038647
333,59228.895833333336,-0.042738122734222735
334,59228.9375,-0.044449010731957145
335,59228.979166666664,-0.0460836719622094
336,59229.020833333336,-0.04771618275453686
337,59229.0625,-0.049233882899001415
338,59229.104166666664,-0.050421298564912884
339,59229.145833333336,-0.05081130360780674
