,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,P [hPa],P [hPa]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,z,2023112700387,2023-11-28 08:04:33.498002944,14.809772362094586,15.040152287170672,0.0049490693549872,0.0053383576812045,14.80004381357248,15.017144796908998,0.0076805061614552,0.0081615333939195,y,2023112700388,2023-11-28 08:05:21.399003904,14.853749115078145,14.924203652939385,0.0101157706639442,0.010112587631508,14.880385365201882,14.867616511508308,0.0215046035383244,0.0188835302160861,47.901,1.008488020972048,1.0082618359063964,2309.3692609850464,1498.1991502633489,925.0896485972376,2605.566130299833,2302.710995177953,1500.0409504073052,918.4104783335544,2607.731413116592,-0.23037992507608607,0.007279515795226253,-0.21710098333651828,0.011207176372138276,-0.07045453786123979,0.014303609500068249,0.012768853693573945,0.02861879953391391,-0.04397675298355885,0.011261532027481319,-0.08034155162940237,0.022835020215376766,0.11594863423128743,0.011435142821032173,0.14952828540068985,0.020571785065032638,0.15992538721484628,0.016049442200381642,0.22986983703009223,0.03073493922230147,15.040152287170672,14.924203652939385,15.017144796908998,14.880385365201882,2608,2023-11-28 08:20:11.280997722+00:00,2023112700403,-64,2,1064,3,True,HD185975,0.0,holo4_003,0.21693611993580547,186.94446706269989,0.0,174.01415461812365,106.80508261442237,869.9922253836327,616.5324009389434,5.700822249500507,54.209363392080995,7.3413375406314705,1.0063873333208184,8.244565882524272,0.0,2.14256249399399,3.1.0,2,,60.0,2.14256249399399,-87.4705010256381,-186.13380782091352,10.0,743.0,,empty,6.500497873956988,-416.3648501150441,17.99222538363267,520,1584,852,897,1064,45,2,11333.333333333334,1,1.0,0.0,1.1481220249958768,0.0016987200409704364,0.0,0.0,0.041779031178858575,0.00011426177928019769,0.0,0.007414553005703111,319.80420058018893,1.187856773730076,3.2868727569279272,0.011756858954873826,1.0,0.0,1.0,0.0,186.96422551604996,0.004076755039449687,0.4788992553758803,0.018123721981487345,-1.7673494677765291,0.0055029740566235425,0.22733248595208033,0.00034471915979055866,631.2010857380224,0.2786302685233547,948.883638151324,0.0,531.5310092943057,0.0,-0.029936223289298503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.645640179515849,0.004558322533696528,-2.4386107384824847,0.011415631224302399,1.693927749490282,0.026245308329561286,2.8476363431608505,0.0020195803715791502,-0.3929241556799821,0.0052680078695609076,0.5622610895602075,0.012268965238062344,11333.333333333416,0.0,948.883638151324,0.0,531.5310092943057,0.0,-0.029936223289298503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854302207152186,0.020012081505169702,0.0,0.0,0.0,0.0,1.8028201500865295,0.005830246279602127,0.0,0.0,0.0,0.0,11333.333333333416,0.0,948.883638151324,0.0,531.5310092943057,0.0,-0.029936223289298503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.831172860196839,0.0,0.0,0.0,0.0,0.0,2.9363461817556797,0.0,0.0,0.0,0.0,0.0,11333.333333333416,0.0,1.0,0.0,0.0,0.0,0.04008187872983083,0.0005844815032860197,0.009794542234778278,0.03397014221754319,366.6246742089549,6.588185252912911,2.812214310976531,0.033398918581327104,2.3979470326700487,0.08419155573682909,186.7730324788511,0.00997656714851968,1.0063873333208184,0.0,0.0,0.0,2023-11-28 08:20:11.280997722+00:00,937.782994,937.782994
1,z,2023120600214,2023-12-07 05:59:12.291002112,14.79375311534341,15.002655314519878,0.004656076629295,0.0051742195229837,14.807219463025874,14.987489044299211,0.0071272575997825,0.00799406800009,y,2023120600215,2023-12-07 06:00:00.319998976,14.851617785676687,14.941872424387771,0.0093071729156009,0.0097838997442304,14.911663326554038,14.921034934464677,0.0197648210214976,0.0190319327683393,48.028996,1.0943384628576551,1.0929801012314824,3584.1229769762053,1844.7510344848968,2199.9570331071463,2952.431651055508,3575.6408409542346,1844.239081837171,2191.7068717811494,2951.6897280075973,-0.20890219917646746,0.006960718156188538,-0.18026958127333792,0.010709945101807027,-0.09025463871108386,0.013503635135993813,-0.009371607910638957,0.027438342058339105,-0.057864670333277246,0.010406849535703014,-0.10444386352816437,0.021010615195788316,0.06078289013210636,0.0110678472105996,0.06645410983453459,0.020642664268176483,0.1186475604653836,0.015192095284585974,0.17089797336269896,0.02945446551873147,15.002655314519878,14.941872424387771,14.987489044299211,14.921034934464677,2769,2023-12-07 05:44:44.111999058+00:00,2023120600203,-64,2,1064,3,True,HD38666,0.0,holo4_003,0.43741530952852375,186.0009994506836,0.0,62.353412649547394,125.65042807946293,1497.47956048637,500.89484580386375,0.023856746977147025,207.18618755670272,9.37316575078243,0.0,0.525191669645535,0.0,1.00263083681183,3.1.0,2,,60.0,1.00263083681183,-32.3033938391,4.381942865210083,11.125,741.35,25.5,empty,-58.81080196419498,-417.3495719205371,14.479560486370062,543,1607,1483,1528,1064,45,2,11333.333333333334,1,1.0,0.0,0.43617687067373306,0.0005334439113478608,0.0,0.0,1.0,0.0004376849049750813,1.5752713551151863e-12,0.002192655792988631,485.8537079461068,14.413689828508758,5.753129490950304e-10,0.02004957827467469,1.0,0.0,1.0,0.0,186.58196797201578,0.010386236517883993,1.9999999849639685,0.024136552513496883,0.6066024823166498,0.0038425169076247317,0.43044115807791694,0.00020279297121362293,949.3655333969871,6.239664152136516,948.8981232699357,0.0,531.4885871793136,0.0,0.007890136209000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2775174701884673,0.002128692643503692,-18.08510917736447,0.011066430977208962,27.247075483330295,0.013808725384009502,1.268833082883996,0.0003044478733166261,-2.978242415478056,0.0021231175860008025,4.0440696414639286,0.002905046686690495,11333.333333333416,0.0,948.8981232699357,0.0,531.4885871793136,0.0,0.007890136209000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.880503181107201,0.014642693391343832,0.0,0.0,0.0,0.0,2.704552415587624,0.004598782084261366,0.0,0.0,0.0,0.0,11333.333333333416,0.0,948.8981232699357,0.0,531.4885871793136,0.0,0.007890136209000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.339650553117541,0.0,0.0,0.0,0.0,0.0,2.019231522756508,0.0,0.0,0.0,0.0,0.0,11333.333333333416,0.0,1.0,0.0,0.0,0.0,1.0,0.035655038628630426,0.0,0.14566553908541285,0.0,26346.74250343924,7.6011000945783085,46.8469873794753,1.4415726671760059,1.8166328898616266,185.98166178070508,0.37796681737817717,0.0,0.0,0.0,0.0,2023-12-07 05:44:44.111999058+00:00,868.179004,-868.179004
2,z,2024032100219,2024-03-22 04:12:21.422496000,14.82982124541508,15.0797881756399,0.0047098960933742,0.0052173634119136,14.804136944902195,14.995806666420815,0.0073783724131729,0.0084118103389025,y,2024032100220,2024-03-22 04:13:09.167491072,14.790580491528145,14.86449248437624,0.0092256365525521,0.0095927302288843,14.788427343721697,14.848995925075103,0.020006839675876,0.0208931855113505,47.744995,1.3384183873343547,1.3417473649391936,3650.1456669974473,1967.006632046595,2266.0578077524983,3074.546917925525,3638.78690948882,1966.9916218134776,2254.7893352663323,3074.5796313330584,-0.24996693022482042,0.007028798061002768,-0.19166972151862005,0.011189232889038368,-0.07391199284809602,0.013309126306558821,-0.06056858135340626,0.028927475427833527,0.0392407538869346,0.01035835368242304,0.015709601180498467,0.021324024321963172,0.215295691263659,0.010919768963495764,0.14681074134571226,0.022522960595564995,0.1760549373767244,0.015051140994166932,0.1311011401652138,0.031016088845517747,15.0797881756399,14.86449248437624,14.995806666420815,14.848995925075103,3897,2024-03-22 05:06:55.780495228+00:00,2024032100277,-64,2,1064,3,True,HD185975,0.0,holo4_003,0.23201181594654066,187.07499632408374,0.0,-122.34940034865272,99.33515941707635,875.5150768238036,616.5324009389434,0.6718865051513242,211.9370617471597,4.2244845845601295,1.1525238949261147,39.241081646366005,0.0,2.06770726694565,3.1.0,2,,60.0,2.06770726694565,-87.4667273859,-121.12635917456348,15.5249996185303,744.95,19.1375007629395,empty,-56.88332191726897,-417.20739884247786,17.515076823803625,513,1577,858,903,1064,45,2,11333.333333333334,1,1.0,0.0,1.0507041893462854,0.000827956994321414,0.0,0.0,0.05462268611613706,0.00012491037815135143,0.1306250004543204,0.006019302931539797,316.8907609892311,1.3496533069401986,7.635633137026183,0.017832672330790743,1.0,0.0,1.0,0.0,187.09209574428849,0.0038273959594693867,-0.10163781946999631,0.020773884496755553,-2.051755923198751,0.0018262430117256246,0.23520894885856702,0.00010703020160727163,625.6253812487294,0.10081338890020082,949.8748501749559,0.0,531.5298803604811,0.0,-0.028994881754629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113406830740847,0.0024902852349662167,-2.6910483018531317,0.006052151997886096,-0.012040869901028053,0.011588528964585756,3.0319932598481434,0.0018328064815698914,-1.1258970056405873,0.004415672468126349,-0.34901328300560697,0.008275989886131036,11333.333333333416,0.0,949.8748501749559,0.0,531.5298803604811,0.0,-0.028994881754629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7299197365794434,0.006546309366795413,0.0,0.0,0.0,0.0,2.005287357811516,0.0038784418863618817,0.0,0.0,0.0,0.0,11333.333333333416,0.0,949.8748501749559,0.0,531.5298803604811,0.0,-0.028994881754629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.607296668950873,0.0,0.0,0.0,0.0,0.0,3.4192337892041627,0.0,0.0,0.0,0.0,0.0,11333.333333333416,0.0,1.0,0.0,0.0,0.0,0.05459318363471967,0.0005982738553149379,0.15201330926019826,0.026115512561617153,359.4140537813762,6.773780649841872,6.7447045913909465,0.05766465900213167,1.5173031403521355,0.054293071501596915,186.8265216547594,0.0057005426761642134,1.1525238949261147,0.0,0.0,0.0,2024-03-22 05:06:55.780495228+00:00,3274.357999,3274.357999
3,z,2024032100223,2024-03-22 04:16:15.158491904,14.860697336851738,14.997787997411104,0.0047964755794501,0.0051930673869675,14.848287645822552,15.020106023141198,0.0083370287239616,0.0085962484207928,y,2024032100220,2024-03-22 04:13:09.167491072,14.790580491528145,14.86449248437624,0.0092256365525521,0.0095927302288843,14.788427343721697,14.848995925075103,0.020006839675876,0.0208931855113505,-185.991001,1.3546821255553254,1.3417473649391936,3092.6597557790683,1974.4917127107328,1708.2309703188123,3081.6894344778507,3638.78690948882,1966.9916218134776,2254.7893352663323,3074.5796313330584,-0.13709066055936603,0.007069238068550714,-0.1718183773186457,0.01197503798975784,-0.07391199284809602,0.013309126306558821,-0.06056858135340626,0.028927475427833527,0.07011684532359297,0.010398006914021868,0.05986030210085502,0.02167440153176938,0.13329551303486298,0.010908181430913958,0.17111009806609445,0.022592491844054943,0.06317866771127001,0.01507006867647864,0.11124979596523943,0.03130815180562494,14.997787997411104,14.86449248437624,15.020106023141198,14.848995925075103,3897,2024-03-22 05:06:55.780495228+00:00,2024032100277,-64,2,1064,3,True,HD185975,0.0,holo4_003,0.23201181594654066,187.07499632408374,0.0,-122.34940034865272,99.33515941707635,875.5150768238036,616.5324009389434,0.6718865051513242,211.9370617471597,4.2244845845601295,1.1525238949261147,39.241081646366005,0.0,2.06770726694565,3.1.0,2,,60.0,2.06770726694565,-87.4667273859,-121.12635917456348,15.5249996185303,744.95,19.1375007629395,empty,-56.88332191726897,-417.20739884247786,17.515076823803625,513,1577,858,903,1064,45,2,11333.333333333334,1,1.0,0.0,1.0507041893462854,0.000827956994321414,0.0,0.0,0.05462268611613706,0.00012491037815135143,0.1306250004543204,0.006019302931539797,316.8907609892311,1.3496533069401986,7.635633137026183,0.017832672330790743,1.0,0.0,1.0,0.0,187.09209574428849,0.0038273959594693867,-0.10163781946999631,0.020773884496755553,-2.051755923198751,0.0018262430117256246,0.23520894885856702,0.00010703020160727163,625.6253812487294,0.10081338890020082,949.8748501749559,0.0,531.5298803604811,0.0,-0.028994881754629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113406830740847,0.0024902852349662167,-2.6910483018531317,0.006052151997886096,-0.012040869901028053,0.011588528964585756,3.0319932598481434,0.0018328064815698914,-1.1258970056405873,0.004415672468126349,-0.34901328300560697,0.008275989886131036,11333.333333333416,0.0,949.8748501749559,0.0,531.5298803604811,0.0,-0.028994881754629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7299197365794434,0.006546309366795413,0.0,0.0,0.0,0.0,2.005287357811516,0.0038784418863618817,0.0,0.0,0.0,0.0,11333.333333333416,0.0,949.8748501749559,0.0,531.5298803604811,0.0,-0.028994881754629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.607296668950873,0.0,0.0,0.0,0.0,0.0,3.4192337892041627,0.0,0.0,0.0,0.0,0.0,11333.333333333416,0.0,1.0,0.0,0.0,0.0,0.05459318363471967,0.0005982738553149379,0.15201330926019826,0.026115512561617153,359.4140537813762,6.773780649841872,6.7447045913909465,0.05766465900213167,1.5173031403521355,0.054293071501596915,186.8265216547594,0.0057005426761642134,1.1525238949261147,0.0,0.0,0.0,2024-03-22 05:06:55.780495228+00:00,3040.622003,3040.622003
