,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,P [hPa],P [hPa]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,g,2023121200650,2023-12-13 06:48:32.815004928,16.311540583726426,15.074676047009456,0.0072348612615084,0.0039387022947358,16.27841548737875,15.080187620645765,0.0132463669521048,0.0046138503155806,r,2023121200651,2023-12-13 06:49:19.588001024,15.009197872419984,13.903153797728889,0.0041991582105348,0.0027718300868394,14.98088795335602,13.897978657055871,0.0053442196447957,0.0023111565399847,46.772996,1.0152411581882397,1.0148395312380336,1641.0685852350769,302.1180391454485,1874.7533315517471,3097.420006632092,1645.6403712479955,302.826967476602,1879.2355224445585,3098.4818769065087,1.2368645367169702,0.00823751134990611,1.1982278667329869,0.014026897453264476,1.106044074691095,0.005031497958601389,1.0829092963001496,0.005822553405863645,1.3023427113064425,0.008365174663470976,1.2975275340227306,0.014283799250956816,1.1715222492805673,0.004816265959938796,1.1822089635898934,0.005160335191331785,0.13082046202587527,0.00965259369015613,0.11531857043283722,0.015187362520481683,16.311540583726426,15.009197872419984,16.27841548737875,14.98088795335602,2850.0,2023-12-13 07:44:55.275497005+00:00,2023121200711.0,-64.0,2.0,1064.0,3.0,True,HD185975,0.0,holo4_003,0.21726607912811335,186.96172471702613,0.0,179.91628434459514,103.42776749230426,874.9932458972928,616.5324009389434,4.32140529762872,54.67097575756417,7.145884405782346,0.9718119126649942,14.212899818323345,0.0,2.14407718346472,3.1.0,2.0,,60.0,2.14407718346472,-87.4747336834259,-180.08578496884948,14.1750001907349,741.35,16.2749996185303,empty,0.8998182986010193,-416.6044354876277,17.993245897292795,517.0,1581.0,857.0,902.0,1064.0,45.0,2.0,11333.333333333334,1.0,1.0,0.0,1.1821270822359107,0.0016359826075358704,0.0,0.0,0.050462845064014605,0.00011619932970131833,0.0,0.0061704299694451325,310.08898436468513,1.208018255663151,2.531515143931238,0.010163139322594742,1.0,0.0,1.0,0.0,186.91208642373235,0.0038714190966727753,0.9607972823718095,0.015236929336326728,-1.760706523744123,0.005007354971054682,0.23165596660275234,0.0003133127790671824,631.493931978939,0.2587757173072998,949.0882953873152,0.0,531.5309216640904,0.0,-0.029823132509989386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.523932974505967,0.0042761739397648,-2.4855080324879535,0.010667145137662811,1.4570859396731357,0.02376690246580505,2.8564266757169983,0.0019230508087898302,-0.35478371823736793,0.005006846571377783,0.5395457846666241,0.011355348188409949,11333.333333333416,0.0,949.0882953873152,0.0,531.5309216640904,0.0,-0.029823132509989386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455136159524059,0.01644655773766776,0.0,0.0,0.0,0.0,1.7423105613900816,0.004734133517476457,0.0,0.0,0.0,0.0,11333.333333333416,0.0,949.0882953873152,0.0,531.5309216640904,0.0,-0.029823132509989386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.744815740464767,0.0,0.0,0.0,0.0,0.0,2.9628361056189454,0.0,0.0,0.0,0.0,0.0,11333.333333333416,0.0,1.0,0.0,0.0,0.0,0.04930808493850961,0.0005849451327856397,0.17556628629097304,0.028643344357893327,357.905637991907,6.537352685898976,2.0178749105795473,0.028764351963777395,2.0054207510475393,0.07865266983965204,186.78016193935233,0.009948983397498414,0.9718119126649942,0.0,0.0,0.0,2023-12-13 07:44:55.275497005+00:00,3382.460492,3382.460492
1,g,2024012900342,2024-01-30 02:22:57.480990976,16.316271121266688,15.06730754299078,0.0113927563041291,0.0078237078480588,16.278017216955924,15.056761781280938,0.0152444613878705,0.0048375530110533,r,2024012900347,2024-01-30 02:27:32.352002048,15.057502645008082,13.945343134511187,0.0046695842870024,0.0030893345731224,15.01674597704812,13.938853471879892,0.0056242432055288,0.0024076155701912,274.871011,1.1007173114522395,1.0928979270361732,2229.1370345260952,172.36532705694088,2462.515833499408,2967.4654717512767,1671.816671747606,178.5109469472961,1904.806725139924,2974.2702639791805,1.248963578275907,0.013820466732243531,1.2212554356749852,0.015993608790420798,1.1121595104968947,0.005599018263777059,1.0778925051682293,0.006117901958086936,1.2587684762586058,0.012312591669453393,1.2612712399078028,0.01624886810338528,1.1219644084795934,0.008411563029334454,1.117908309401047,0.005403566587780514,0.13680406777901233,0.014911549423690327,0.14336293050675586,0.01712379182628046,16.316271121266688,15.057502645008082,16.278017216955924,15.01674597704812,3038.0,2024-01-30 02:06:46.604509935+00:00,2024012900331.0,-64.0,2.0,1064.0,3.0,True,HD2811,0.0,holo4_003,0.23128858423963833,186.9530778346145,0.0,108.01672364603631,100.2351089804369,872.2950732024063,555.8063727639171,3.3280320497556737,50.58098216837774,8.202094954425567,0.911588162791257,6.89423769119571,0.0,2.26304847010233,3.1.0,2.0,,60.0,2.26304847010233,-43.611959509856,81.63314347254888,16.1499996185303,745.4,45.4000015258789,empty,72.40982950171801,-417.7313397712954,16.295073202406343,515.0,1579.0,856.0,901.0,1064.0,45.0,2.0,11333.333333333334,1.0,1.0,0.0,0.9914699608285689,0.0008421063806677724,0.0,0.0,0.09876257921312372,8.169894139690183e-05,0.34030865523334247,0.003176475863665803,247.92114580801646,1.0165879864942935,7.237742962174831,0.020826459126879436,1.0,0.0,1.0,0.0,187.05314135988704,0.0035230878233416885,0.3840336205106619,0.015231004179933958,-2.7789371079919016,0.005224037465486096,0.23046718075347328,0.00036134757738824104,646.9458599447935,0.22373827853703315,950.1694388993006,0.0,531.533056429068,0.0,-0.032469960760676965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.630199651466826,0.004263090813259462,-2.665950175323606,0.00998663104865015,0.9714064337299956,0.0232312790380029,2.289651411693065,0.001279027612773176,-0.3408509871256505,0.003226015247024641,0.09804301980260872,0.007205437856692663,11333.333333333416,0.0,950.1694388993006,0.0,531.533056429068,0.0,-0.032469960760676965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.350187588632133,0.03494425459600594,0.0,0.0,0.0,0.0,2.563374171266046,0.011845647652254248,0.0,0.0,0.0,0.0,11333.333333333416,0.0,950.1694388993006,0.0,531.533056429068,0.0,-0.032469960760676965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576772461383912,0.0,0.0,0.0,0.0,0.0,2.271393447424435,0.0,0.0,0.0,0.0,0.0,11333.333333333416,0.0,1.0,0.0,0.0,0.0,0.09477216737900908,0.0005406706915158599,0.25492113414238027,0.013819964441791014,273.8385634820395,6.142008216841425,7.760903305999636,0.06950226705734473,2.1036859403472232,0.06007856684881692,186.89675390200568,0.007379347262500055,0.911588162791257,0.0,0.0,0.0,2024-01-30 02:06:46.604509935+00:00,970.876482,-970.876482
2,g,2024030100057,2024-03-02 00:57:13.648489984,16.29496103433103,15.064154211243686,0.0084297080919755,0.0042549551153463,16.280974392246378,15.069118922341683,0.0137257082893294,0.0046673725525549,r,2024030100058,2024-03-02 00:58:00.407991040,15.046892149048482,13.977048709494497,0.0043855546065023,0.0028009884448551,15.022080975950807,13.9444462056437,0.0055457673797813,0.0023655888689613,46.759501,1.0442320926810706,1.0434039695543949,1852.8260009154603,101.3501935375026,2086.092247528641,2896.4320208046174,1854.032572623842,100.69579057280126,2087.405628684559,2896.185578209905,1.2308068230873452,0.009442702025878444,1.2118554699046946,0.014497566505731528,1.0698434395539849,0.005203712662592481,1.0776347703071067,0.006029224371973558,1.2480688852825494,0.00950226645188035,1.258893416295571,0.014803736145798201,1.087105501749189,0.005094131849670112,1.124672716697983,0.005232626227937215,0.16096338353336037,0.010781616160128973,0.13422069959758787,0.015701305076830673,16.29496103433103,15.046892149048482,16.280974392246378,15.022080975950807,3332.0,2024-03-02 00:27:37.332001643+00:00,2024030100029.0,-64.0,2.0,1064.0,3.0,True,HD38666,0.0,holo4_003,0.2209694551652046,186.88023690617638,0.0,78.53018167257747,104.66863026535292,867.4818319411993,500.89484580386375,2.352678046614923,54.318143810271565,7.140690628398844,1.1176507192185225,72.35726792765821,0.0,1.01088130399661,3.1.0,2.0,,30.0,1.01088130399661,-32.3015771945216,9.644878149873994,16.9375,744.95,33.0750007629395,empty,-77.66453935687298,-417.8569306595725,20.48183194119926,519.0,1583.0,847.0,892.0,1064.0,45.0,2.0,22666.666666666668,1.0,1.0,0.0,0.9860353132065557,0.00032192194418946806,0.0,0.0,0.08112598048005859,0.0001222107178784241,0.5715150041749042,0.00943705020700584,440.9041789929889,1.9832494699580099,6.199521451241273,0.034714667553092556,1.0,0.0,1.0,0.0,187.39258896093742,0.004445336150647851,-1.5448937346046552,0.012299458823156174,0.8751833679861102,0.001104661175955868,0.22516938524219043,7.616749978857982e-05,2082.0840225744614,1.1287237943335469,950.4670829030827,0.0,531.4912427980295,0.0,0.00822028225516517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.554816155907209,0.0022571981596861235,-2.0680820391643033,0.007045953327439974,0.717048380757291,0.012426946066339185,2.273723680092211,0.0007189172249594013,-0.26178470797813186,0.0028529077038454203,0.11111028208507885,0.004546484431185333,22666.666666666544,0.0,950.4670829030827,0.0,531.4912427980295,0.0,0.00822028225516517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.325346924630382,0.004297431847405389,0.0,0.0,0.0,0.0,2.0200706592861515,0.001339045355680355,0.0,0.0,0.0,0.0,22666.666666666544,0.0,950.4670829030827,0.0,531.4912427980295,0.0,0.00822028225516517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.933082527573803,0.0,0.0,0.0,0.0,0.0,2.3900878819219593,0.0,0.0,0.0,0.0,0.0,22666.666666666544,0.0,1.0,0.0,0.0,0.0,0.08953197609153252,0.0011715318676193015,0.632412339589422,0.035117918567596475,495.3053553755815,13.437718327199962,6.281358247487246,0.08159100491484653,2.259721597721844,0.10763668079840412,186.8584506303664,0.011019871514961886,1.1176507192185225,0.0,0.0,0.0,2024-03-02 00:27:37.332001643+00:00,1776.316489,-1776.316489
3,g,2024030800523,2024-03-09 05:05:36.453993984,16.301730804333204,15.069592083724617,0.0081791256596831,0.0042364045324632,16.259396042246046,15.079907442415086,0.0138636614776175,0.0049090465615917,r,2024030800524,2024-03-09 05:06:23.229509888,14.953739694631604,13.940128133107528,0.0044162654769716,0.0029313975996091,14.97854208767832,13.907738816010015,0.0056009057082856,0.002420358161772,46.775515,1.3483228760495278,1.351663629538597,1722.1423052031887,137.76712417504157,1954.5604267110807,2932.996641847526,1715.6906218956815,138.387673764201,1948.4880756338628,2933.897424466649,1.232138720608587,0.00921114650407653,1.1794885998309592,0.014707135945174735,1.0136115615240762,0.005300612478769335,1.0708032716683054,0.00610149804428081,1.3479911097015993,0.00929524057353965,1.2808539545677249,0.014952299298739364,1.1294639506170885,0.005151719640049208,1.172168626405071,0.005473287108779479,0.2185271590845108,0.010627403848995598,0.10868532816265386,0.015922566567429176,16.301730804333204,14.953739694631604,16.259396042246046,14.97854208767832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,g,2024040300481,2024-04-04 03:31:10.720505088,16.316987540336306,15.072977181737242,0.0081461230211212,0.0042831440127083,16.30070845178991,15.062897646661282,0.0141407430317632,0.0047779781270256,r,2024040300482,2024-04-04 03:31:57.620003072,14.99401715000256,13.912460085015216,0.0048324294546845,0.0035477058881145,14.981758687484316,13.9125534091698,0.005536014364301,0.0024006666734352,46.899497,1.3829771354896705,1.3866004297345844,1650.0563125900294,78.54926099157166,1882.8062866040163,2873.913614323335,1646.6962983533108,79.28829180499208,1879.2502527710567,2874.8281999119567,1.2440103585990645,0.009203512531030734,1.2378108051286265,0.01492614111124153,1.0815570649873436,0.00599488044109844,1.0692052783145165,0.006034124254495381,1.3229703903337473,0.009471625769092818,1.318949764305593,0.015185785081190452,1.1605170967220264,0.005561613048582331,1.150344237491483,0.005347174530467234,0.1624532936117209,0.010983771411127618,0.16860552681411,0.01609970012116325,16.316987540336306,14.99401715000256,16.30070845178991,14.981758687484316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
